VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BHORLE,1121,1278,883,913,221,342,17,23
BRIDHIM,26,33,8,17,18,16,0,0
CHILIME,242,305,173,213,59,83,10,9
DANDAGOUN,459,533,351,378,102,145,6,10
DHUNCHE,552,528,431,387,118,132,3,9
GATLANG,364,378,286,276,78,96,0,6
GOLJUNG,191,206,159,173,31,31,1,2
HAKU,425,516,339,370,86,146,0,0
DHAIBUNG,945,980,777,774,161,197,7,9
LAHAREPOUWA,774,916,662,725,96,163,16,28
LANGTANG,19,26,10,4,9,22,0,0
RAMCHE,485,584,300,319,173,248,12,17
SARAMTHALI,837,1010,593,626,236,374,8,10
SYAFRU,407,433,333,347,73,81,1,5
THULOGOUN,266,287,215,224,48,59,3,4
THUMAN,139,164,97,115,42,49,0,0
TIMURE,51,65,34,50,16,15,1,0
YARSA,841,807,511,419,323,381,7,7
INSTITUTIONAL,342,169,211,161,131,7,0,1
