VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
BHORLE,55,21,34,1286,670,616,594,293,301,289,149,140,205,135,70,104,52,52,28,24,4,5,4,1,3,1,2,77,45,32,9,5,4
BRIDHIM,40,27,13,46,20,26,12,10,2,4,2,2,10,8,2,7,4,3,3,2,1,0,0,0,3,3,0,2,1,1,1,1,0
CHILIME,20,10,10,307,153,154,129,64,65,48,30,18,33,17,16,15,10,5,2,2,0,0,0,0,2,1,1,5,2,3,3,2,1
DANDAGOUN,18,14,4,636,334,302,294,152,142,89,40,49,104,59,45,44,27,17,27,23,4,2,2,0,0,0,0,23,14,9,12,3,9
DHUNCHE,56,28,28,647,365,282,354,214,140,144,77,67,237,159,78,144,94,50,57,43,14,41,36,5,1,1,0,3,2,1,13,8,5
GATLANG,47,21,26,430,235,195,176,92,84,90,48,42,38,29,9,40,36,4,4,3,1,0,0,0,0,0,0,32,20,12,3,1,2
GOLJUNG,48,24,24,229,118,111,82,48,34,42,17,25,21,12,9,19,10,9,7,6,1,4,3,1,0,0,0,1,0,1,0,0,0
HAKU,54,24,30,566,269,297,169,89,80,46,29,17,31,25,6,30,22,8,4,2,2,0,0,0,1,1,0,7,5,2,0,0,0
DHAIBUNG,22,11,11,1033,549,484,643,326,317,391,196,195,313,169,144,297,146,151,76,52,24,22,13,9,5,4,1,143,95,48,25,15,10
LAHAREPOUWA,111,57,54,1024,536,488,606,301,305,246,117,129,317,167,150,209,117,92,47,35,12,2,2,0,0,0,0,20,9,11,7,5,2
LANGTANG,3,3,0,40,27,13,21,19,2,26,19,7,1,1,0,8,5,3,2,2,0,0,0,0,2,2,0,9,4,5,0,0,0
RAMCHE,91,46,45,492,238,254,118,63,55,17,9,8,18,13,5,10,10,0,3,2,1,0,0,0,1,1,0,3,3,0,4,4,0
SARAMTHALI,111,54,57,1149,602,547,315,171,144,98,54,44,76,41,35,42,30,12,20,13,7,1,1,0,6,5,1,18,16,2,12,6,6
SYAFRU,37,16,21,573,346,227,286,161,125,145,76,69,155,98,57,50,33,17,12,10,2,10,7,3,4,4,0,61,41,20,3,2,1
THULOGOUN,23,9,14,339,191,148,183,89,94,83,46,37,64,24,40,24,10,14,6,6,0,0,0,0,0,0,0,74,31,43,0,0,0
THUMAN,20,9,11,212,106,106,64,40,24,23,15,8,15,11,4,6,4,2,1,1,0,0,0,0,0,0,0,5,3,2,0,0,0
TIMURE,6,4,2,93,47,46,53,36,17,10,3,7,23,14,9,12,10,2,5,5,0,0,0,0,0,0,0,3,2,1,0,0,0
YARSA,103,49,54,927,531,396,128,83,45,18,15,3,52,45,7,11,10,1,3,3,0,0,0,0,2,0,2,11,5,6,6,4,2
INSTITUTIONAL,49,28,21,281,189,92,321,280,41,167,153,14,175,174,1,70,66,4,26,21,5,7,7,0,0,0,0,14,13,1,3,3,0
