VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AANPTAR,984,1133,812,884,170,245,2,4
BALAMTA,479,534,389,416,80,110,10,8
BARAHA,668,774,512,571,152,201,4,2
BARRE,949,1111,727,786,221,321,1,4
BANSBOTE,519,577,424,456,89,114,6,7
BASHAHA,2006,2207,1580,1572,376,590,50,45
BELTAR,2742,2914,2333,2243,372,611,37,60
BHUTTAR,605,668,460,484,134,162,11,22
CHAUDANDI,902,944,638,688,233,226,31,30
DUMRE,456,535,386,393,70,142,0,0
HADIYA,2072,2379,1712,1809,344,550,16,20
HARDENI,767,890,561,607,195,275,11,8
INAME,768,891,556,571,197,300,15,20
JALPACHILAUNE,860,886,687,644,165,237,8,5
JANTE,508,565,366,395,135,163,7,7
JOGIDAHA,1192,1339,927,918,241,402,24,19
KATARI,3952,4219,2943,2778,956,1366,53,75
KATUNJE BABALA,1372,1462,985,1024,377,429,10,9
KHANBU,987,1023,725,722,253,293,9,8
LAPHAGAUN,674,726,459,513,205,204,10,9
LEKHANI,720,758,517,538,196,209,7,11
LEKHGAUN,511,637,387,451,124,186,0,0
LIMPATAR,635,737,447,472,187,264,1,1
MAINAMAINI,1124,1296,812,895,302,393,10,8
NAMETAR,481,530,345,362,127,153,9,15
OKHALE,551,651,451,491,99,160,1,0
PACHCHAWATI,1902,2023,1483,1418,416,595,3,10
POKHARI,670,798,495,579,174,215,1,4
RAUTA,1750,1832,1393,1391,334,403,23,38
RISKU,1612,1876,1243,1224,362,646,7,6
RUPATAR,796,778,649,575,146,201,1,2
SAUNE,629,686,453,467,166,209,10,10
SHORUNG CHHABISE,856,869,626,584,216,270,14,15
SIDDHIPUR,837,844,672,643,165,200,0,1
SIRISE,997,1110,689,707,306,403,2,0
SUNDARPUR,1030,1212,846,851,183,360,1,1
TAMLICHHA,493,607,387,449,98,152,8,6
TAPESWORI,1859,2161,1530,1605,319,535,10,21
TAWASHREE,1227,1442,884,900,332,531,11,11
THANAGAU,587,626,452,445,134,181,1,0
THOKSILA,4453,4966,3605,3503,722,1261,126,202
TRIBENI,1833,2000,1366,1358,450,619,17,23
TRIYUGA MUNICIPALITY,13297,14076,10506,10290,2696,3683,95,103
VALAYADANDA,1931,2210,1467,1549,449,656,15,5
MAYANKHU,588,644,421,415,150,208,17,21
INSTITUTIONAL,348,63,104,31,244,32,0,0
