VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AANPTAR,4382,2065,2317,35,19,16,13,9,4,16,7,9,6,4,2,14,5,9,0,0,0,7,4,3,21,5,16
BALAMTA,2144,991,1153,26,17,9,42,11,31,44,26,18,1,1,0,3,2,1,4,2,2,8,6,2,26,14,12
BARAHA,2840,1350,1490,24,13,11,5,2,3,3,1,2,0,0,0,10,9,1,3,1,2,4,1,3,15,6,9
BARRE,4354,2044,2310,55,32,23,14,6,8,27,18,9,0,0,0,15,13,2,2,0,2,5,2,3,10,5,5
BANSBOTE,2193,1037,1156,17,10,7,10,3,7,19,13,6,3,1,2,5,4,1,6,6,0,4,2,2,9,4,5
BASHAHA,9918,4424,5494,58,30,28,20,8,12,35,17,18,1,1,0,35,14,21,7,3,4,13,10,3,19,13,6
BELTAR,13562,6113,7449,85,52,33,15,8,7,48,20,28,0,0,0,42,22,20,14,7,7,24,13,11,22,12,10
BHUTTAR,2982,1417,1565,17,9,8,12,6,6,10,6,4,0,0,0,3,2,1,0,0,0,5,2,3,10,5,5
CHAUDANDI,3782,1809,1973,26,15,11,12,5,7,16,4,12,5,4,1,19,10,9,5,3,2,10,7,3,7,1,6
DUMRE,2284,1039,1245,24,14,10,15,7,8,12,9,3,0,0,0,3,3,0,1,1,0,8,5,3,10,7,3
HADIYA,10984,4938,6046,137,76,61,40,15,25,50,19,31,15,6,9,64,37,27,13,7,6,12,9,3,16,11,5
HARDENI,3389,1629,1760,31,20,11,11,6,5,8,5,3,1,0,1,12,8,4,3,2,1,0,0,0,2,1,1
INAME,3195,1461,1734,31,18,13,2,1,1,8,5,3,1,0,1,10,4,6,4,1,3,1,1,0,4,2,2
JALPACHILAUNE,3751,1787,1964,40,24,16,25,11,14,19,11,8,2,1,1,12,5,7,3,1,2,5,4,1,7,3,4
JANTE,2128,1024,1104,17,12,5,3,1,2,12,6,6,0,0,0,9,4,5,8,4,4,0,0,0,3,2,1
JOGIDAHA,6506,2993,3513,53,31,22,23,12,11,20,10,10,3,2,1,24,15,9,8,2,6,21,15,6,7,3,4
KATARI,18520,8745,9775,202,101,101,135,70,65,115,67,48,25,13,12,140,56,84,31,11,20,44,24,20,72,42,30
KATUNJE BABALA,5668,2745,2923,28,20,8,5,2,3,15,11,4,1,0,1,32,15,17,10,5,5,14,8,6,17,8,9
KHANBU,4291,2077,2214,20,13,7,10,6,4,8,4,4,0,0,0,4,2,2,3,3,0,6,1,5,8,4,4
LAPHAGAUN,2793,1331,1462,17,10,7,16,11,5,20,13,7,0,0,0,18,11,7,6,2,4,1,1,0,47,29,18
LEKHANI,3102,1506,1596,31,20,11,17,7,10,14,6,8,1,1,0,12,7,5,5,2,3,3,2,1,74,43,31
