VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AMARPATTI,818,868,507,380,277,413,34,75
AMLEKHGANJ,1456,1454,741,684,652,718,63,52
AMRITGANG,1996,1896,1290,1129,700,763,6,4
AMAB,1181,1204,799,718,372,478,10,8
BABUAIN,758,739,500,426,236,307,22,6
BACHHANPURWA,959,1145,650,636,298,490,11,19
BADAKI FULBARIYA,1755,1518,758,528,843,806,154,184
BAGAHI,838,848,487,319,290,384,61,145
BAHUARI,1110,1078,695,620,404,453,11,5
BALIRAMPUR,1672,1622,854,676,764,874,54,72
BAGHAWAN,1057,1045,564,479,462,537,31,29
BANJARIYA,1398,1460,609,520,745,905,44,35
BARAINIYA,1200,1101,665,552,528,546,7,3
BARIYARPUR,2447,2620,1371,1175,916,1073,160,372
BASATPUR,1692,1619,926,765,708,772,58,82
BATARA,819,823,486,442,325,374,8,7
BELDARI,1136,1143,532,364,447,595,157,184
BENAULI,1217,1070,773,552,394,500,50,18
BHAGWANPUR,1274,1238,417,271,751,870,106,97
BHALUHI BHARBALIYA,1586,1461,953,766,502,460,131,235
BHARATGANJ SIGAUL,1151,1306,847,867,288,407,16,32
BHATAUDA,1456,1384,855,729,518,603,83,52
BHODAHA,1637,1588,820,648,707,785,110,155
BISHRAMPUR,1487,1304,890,661,580,623,17,20
BISHUNPUR,1101,1045,636,508,354,302,111,235
BISHUNPURWA,1067,1096,608,586,439,481,20,29
BUNIYAD,1326,1260,852,672,422,532,52,56
CHHATA PIPRA,1625,1592,1016,882,564,656,45,54
CHHATAWA,1430,1245,767,548,631,665,32,32
DAHIYAR,1558,1476,903,762,379,290,276,424
DEWAPUR,1068,1052,623,503,373,483,72,66
DHARMA NAGAR,1218,1161,741,602,440,528,37,31
DOHARI,1173,1112,741,591,358,409,74,112
DUMARWANA,4301,4727,3260,3186,944,1422,97,119
FATTEPUR,2025,2007,1178,1059,822,904,25,44
GADHAHAL,686,666,422,321,144,191,120,154
GANJ BHAWANIPUR,1366,1311,853,762,443,487,70,62
GOLAGANJ,1280,1121,530,343,733,766,17,12
HARAIYA,1946,2129,1302,1300,582,758,62,71
HARDIYA,1181,1060,649,490,483,492,49,78
HARIHARPUR,1335,1147,786,595,468,407,81,145
INARWAMAL,1864,1781,763,506,1082,1254,19,21
INARWASIRA,2497,2420,1472,1175,882,1029,143,216
ITIYAHI,1651,1426,860,635,771,773,20,18
JHITAKAIYA(DAKSHIN),2178,1937,933,627,993,1115,252,195
JHITAKAIYA(UTTAR),1462,1564,1041,925,410,617,11,22
JITPUR BHAWANIPUR,5065,4890,3021,2432,2028,2430,16,28
KABAHIGOTH,1456,1436,413,230,803,956,240,250
KABAHIJABDI,987,940,668,509,318,422,1,9
KACHORWA,2485,2235,1341,935,1074,1226,70,74
KAKADI,792,871,521,525,270,346,1,0
KALAIYA MUNICIPALITY,9541,8811,6605,5306,2306,2692,630,813
KARAIYA,1225,1219,732,631,488,583,5,5
KHOPAWA,1180,1160,577,474,445,464,158,222
KHUTWAJABDI,1121,1080,729,611,390,464,2,5
KOLHABI,1324,1432,1009,926,303,481,12,25
KUDAWA,997,1002,414,317,577,677,6,8
LAXMIPUR KOTWALI,1447,1380,751,566,688,809,8,5
LIPANIMAL,2004,1828,1130,787,848,1027,26,14
MADHURIJABDI,725,713,490,416,219,288,16,9
MAHENDRA ADARSHA,1070,1120,589,510,402,467,79,143
MAHESHPUR,2084,1962,1214,980,860,966,10,16
MAJHARIYA,1097,1029,610,432,467,588,20,9
MANAHARWA,2254,2297,1419,1335,735,818,100,144
MATIARWA,1458,1434,788,632,647,785,23,17
MOTISAR,1171,1164,692,625,341,313,138,226
NARAHI,1046,1057,625,553,346,408,75,96
NIJGADH,3525,3605,2578,2505,873,975,74,125
PAKADIYA CHIKANI,1282,1112,702,447,505,558,75,107
PAPARPATI JABDI,711,704,359,292,305,370,47,42
PATERWA,855,864,464,407,390,456,1,1
PATHARHATI,1074,987,601,456,330,334,143,197
PATHERA,1129,1131,575,481,548,647,6,3
PHETA,1523,1625,832,763,681,853,10,9
