VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
BADALKOT,127,56,71,873,475,398,296,185,111,133,90,43,91,67,24,64,53,11,8,7,1,1,1,0,1,0,1,16,10,6,3,3,0
CHHAPRE,150,71,79,851,473,378,339,221,118,144,94,50,84,65,19,57,47,10,10,8,2,1,1,0,0,0,0,114,80,34,3,2,1
CHILKHAYA,116,56,60,1249,690,559,455,301,154,162,118,44,91,72,19,83,67,16,12,12,0,3,3,0,3,3,0,41,18,23,3,2,1
DAHAFATGAUN,158,79,79,1283,649,634,467,276,191,277,191,86,74,51,23,104,78,26,12,9,3,2,2,0,7,4,3,102,66,36,23,11,12
DHOLAGOHE,336,156,180,1791,944,847,556,401,155,171,139,32,155,137,18,79,71,8,6,5,1,2,2,0,2,1,1,99,84,15,9,4,5
GELA,273,148,125,1015,545,470,355,231,124,124,91,33,210,158,52,46,35,11,19,18,1,3,3,0,4,3,1,121,58,63,2,1,1
JUBITHA,86,49,37,622,308,314,338,211,127,141,98,43,122,93,29,67,44,23,9,9,0,2,2,0,0,0,0,7,4,3,3,1,2
KHEEN,257,133,124,655,345,310,259,193,66,103,88,15,57,51,6,28,27,1,7,7,0,0,0,0,0,0,0,56,48,8,21,15,6
KOTBADA,123,60,63,963,502,461,331,209,122,105,68,37,122,78,44,56,39,17,16,15,1,3,3,0,0,0,0,39,17,22,6,3,3
KUMALGAUN,103,50,53,898,483,415,432,254,178,155,112,43,133,94,39,111,88,23,9,8,1,1,1,0,3,2,1,179,68,111,28,16,12
LALU,145,64,81,1756,873,883,511,362,149,231,177,54,123,95,28,112,85,27,9,9,0,4,3,1,6,5,1,90,34,56,1,1,0
MALKOT,130,67,63,1061,534,527,330,202,128,102,75,27,92,66,26,41,32,9,14,13,1,3,3,0,2,1,1,98,53,45,1,1,0
MANMA,309,159,150,2016,1092,924,909,595,314,482,320,162,460,324,136,491,314,177,184,152,32,41,39,2,3,2,1,174,92,82,38,22,16
MARTA,296,177,119,1791,957,834,617,404,213,196,144,52,153,122,31,98,80,18,40,32,8,3,3,0,1,1,0,200,114,86,9,4,5
MEHAL MUDI,227,111,116,1151,593,558,552,342,210,284,189,95,175,119,56,95,76,19,23,19,4,10,9,1,0,0,0,76,43,33,4,1,3
MUGRAHA,55,29,26,688,382,306,278,146,132,140,85,55,115,83,32,85,57,28,14,11,3,2,2,0,2,2,0,180,86,94,3,2,1
MUMRAKOT,59,26,33,932,513,419,359,216,143,136,97,39,90,69,21,77,60,17,10,7,3,1,1,0,4,3,1,51,31,20,7,4,3
NANIKOT,92,54,38,1691,926,765,498,355,143,277,206,71,128,85,43,152,123,29,20,16,4,2,2,0,1,1,0,178,94,84,8,4,4
ODANAKU,61,39,22,873,470,403,437,281,156,136,96,40,165,127,38,66,56,10,22,14,8,0,0,0,3,1,2,94,54,40,2,1,1
PAKHA,111,66,45,1072,591,481,445,270,175,139,90,49,158,124,34,65,50,15,11,10,1,2,0,2,0,0,0,45,25,20,38,16,22
PHOI MAHADEV,104,50,54,910,501,409,412,270,142,168,117,51,145,103,42,72,53,19,12,10,2,0,0,0,2,2,0,177,58,119,2,2,0
PHUKOT,215,102,113,1349,746,603,476,282,194,231,154,77,169,123,46,93,68,25,13,13,0,4,4,0,2,2,0,180,112,68,2,1,1
RAKU,317,187,130,1057,562,495,409,251,158,161,121,40,114,84,30,77,61,16,9,8,1,3,3,0,1,0,1,81,54,27,3,1,2
RAMANAKOT,40,22,18,929,461,468,461,247,214,174,111,63,213,166,47,83,64,19,10,9,1,2,2,0,1,1,0,74,39,35,0,0,0
