VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BADALKOT,20,26,542,1
CHHAPRE,330,23,245,3
CHILKHAYA,486,74,185,4
DAHAFATGAUN,212,272,360,5
DHOLAGOHE,733,91,282,6
GELA,3,17,685,1
JUBITHA,63,169,173,2
KHEEN,588,1,17,1
KOTBADA,65,540,74,7
KUMALGAUN,9,34,574,4
LALU,109,826,44,5
MALKOT,167,296,216,3
MANMA,564,422,685,25
MARTA,904,78,281,2
MEHAL MUDI,602,99,114,1
MUGRAHA,21,151,320,5
MUMRAKOT,336,133,76,3
NANIKOT,37,395,521,20
ODANAKU,373,19,240,6
PAKHA,473,80,138,0
PHOI MAHADEV,427,13,174,3
PHUKOT,408,139,349,1
RAKU,484,128,129,0
RAMANAKOT,49,333,240,3
RANCHULI,274,28,114,6
RUPSA,65,69,478,0
SIPKHANA,688,41,143,5
SIUNA,602,44,256,9
SUKATAYA,281,55,549,2
THIRPU,554,40,104,4
TOTAL,9927,4636,8308,137
