VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
ALAMADEVI,3762,1585,2177,36,25,11,14,6,8,7,4,3,1,1,0,8,3,5,8,2,6,3,2,1,5,4,1
ARJUN CHAUPARI,6209,2692,3517,31,21,10,16,11,5,19,9,10,0,0,0,14,7,7,5,3,2,4,2,2,9,8,1
ARUCHAUR,2872,1202,1670,23,13,10,11,4,7,19,11,8,0,0,0,15,9,6,5,3,2,1,0,1,10,6,4
ARUKHARKA,3361,1447,1914,13,6,7,5,2,3,2,0,2,0,0,0,10,5,5,4,0,4,1,1,0,1,1,0
BAGEFADKE,1034,423,611,23,14,9,12,5,7,17,11,6,0,0,0,4,3,1,4,1,3,4,2,2,4,2,2
BAHAKOT,1686,736,950,18,14,4,3,0,3,5,1,4,1,1,0,5,3,2,7,4,3,1,1,0,5,4,1
BENETHOK DEURALI,3471,1479,1992,30,14,16,15,3,12,9,5,4,2,2,0,2,1,1,4,4,0,5,1,4,8,4,4
BHATKHOLA,1615,674,941,18,13,5,11,5,6,3,1,2,0,0,0,2,0,2,2,1,1,3,3,0,5,3,2
BICHARI CHAUTARA,2122,894,1228,25,16,9,10,5,5,3,2,1,1,0,1,9,6,3,5,3,2,0,0,0,10,4,6
BIRGHA,4977,2099,2878,51,30,21,21,15,6,17,10,7,3,2,1,17,9,8,13,7,6,8,6,2,10,7,3
BIRUWA ARCHALE,2804,1238,1566,18,9,9,14,13,1,4,1,3,0,0,0,5,3,2,9,4,5,1,1,0,5,1,4
CHANDI BHANJYANG,3840,1626,2214,33,20,13,25,10,15,21,5,16,7,3,4,11,4,7,2,2,0,3,1,2,0,0,0
CHAPAKOT,4600,1936,2664,52,28,24,16,6,10,9,4,5,3,3,0,12,8,4,4,4,0,2,2,0,4,2,2
CHHANGCHHANGDI,2797,1254,1543,22,12,10,10,10,0,4,2,2,0,0,0,7,5,2,1,1,0,0,0,0,3,3,0
CHILAUNEBAS,2672,1137,1535,20,13,7,9,4,5,2,0,2,1,1,0,4,4,0,7,5,2,2,2,0,5,3,2
CHINNEBAS,4628,2004,2624,41,22,19,17,6,11,19,11,8,3,1,2,17,11,6,12,8,4,2,0,2,14,7,7
MAGYAM CHISAPANI,4209,1793,2416,28,20,8,13,9,4,4,1,3,2,1,1,7,3,4,7,1,6,3,0,3,8,5,3
CHITRE BHANJYANG,3482,1476,2006,17,13,4,14,8,6,14,9,5,0,0,0,7,4,3,9,5,4,4,3,1,4,2,2
DARSING DAHATHUM,6543,2814,3729,16,13,3,7,4,3,8,3,5,0,0,0,15,6,9,2,1,1,1,0,1,6,5,1
DHAPUK SIMAL BHANJYANG,3594,1533,2061,22,11,11,12,4,8,12,6,6,1,1,0,14,7,7,3,0,3,3,2,1,5,4,1
FAPARTHUM,2360,995,1365,14,10,4,7,5,2,4,2,2,1,0,1,6,2,4,12,6,6,1,1,0,7,4,3
FEDIKHOLA,6059,2561,3498,46,34,12,13,6,7,33,17,16,3,2,1,6,3,3,6,2,4,6,5,1,11,6,5
JAGAT BHANJYANG,3249,1412,1837,16,8,8,10,7,3,13,10,3,0,0,0,7,4,3,6,2,4,2,0,2,7,2,5
JAGATRADEVI,8582,3946,4636,48,28,20,10,5,5,11,5,6,1,1,0,15,5,10,7,5,2,9,2,7,17,10,7
KALIKAKOT,4126,1790,2336,41,22,19,15,9,6,11,8,3,0,0,0,20,10,10,11,4,7,1,0,1,8,6,2
KOLMA BARAHACHAUR,1666,708,958,17,9,8,9,5,4,19,10,9,0,0,0,6,3,3,2,1,1,3,1,2,1,1,0
KEWARE BHANJYANG,2835,1186,1649,34,24,10,7,5,2,6,3,3,0,0,0,4,3,1,8,4,4,2,1,1,6,4,2
KHILUNG DEURALI,4235,1835,2400,38,17,21,9,4,5,9,2,7,0,0,0,13,8,5,7,1,6,3,3,0,10,8,2
KICHANASH,4752,2074,2678,20,12,8,26,14,12,13,5,8,0,0,0,5,3,2,8,4,4,6,5,1,3,1,2
KUWAKOT,4043,1684,2359,26,13,13,12,6,6,10,6,4,2,1,1,11,5,6,8,3,5,2,1,1,6,3,3
KYAKMI,5306,2285,3021,31,20,11,15,10,5,8,2,6,0,0,0,12,8,4,6,2,4,7,4,3,11,5,6
MAJHAKOT SIVALAYA,1523,665,858,14,6,8,3,2,1,6,4,2,0,0,0,6,3,3,0,0,0,1,1,0,2,1,1
MALUNGA,3192,1415,1777,10,4,6,5,3,2,6,2,4,1,0,1,10,6,4,4,3,1,2,2,0,0,0,0
MALYANGKOT,4499,1885,2614,73,46,27,35,10,25,15,3,12,3,3,0,23,13,10,7,6,1,6,2,4,23,14,9
MANAKAMANA,4299,1868,2431,43,24,19,17,5,12,7,3,4,0,0,0,8,5,3,4,3,1,2,1,1,5,4,1
NIBUWAKHARKA,3776,1613,2163,48,25,23,8,5,3,12,8,4,0,0,0,7,5,2,12,8,4,5,5,0,7,2,5
ORASTE,3404,1433,1971,45,31,14,9,3,6,19,9,10,2,2,0,15,7,8,11,3,8,2,2,0,8,6,2
PAKWADI,5798,2375,3423,67,37,30,35,17,18,20,5,15,0,0,0,19,9,10,11,6,5,3,2,1,5,3,2
PANCHAMUL,4493,1930,2563,31,12,19,24,11,13,22,14,8,1,0,1,10,6,4,10,7,3,6,3,3,4,3,1
PAUWEGAUDE,2842,1199,1643,16,11,5,7,2,5,3,1,2,1,1,0,5,2,3,3,2,1,2,2,0,4,4,0
PELAKOT,5629,2403,3226,42,28,14,25,11,14,9,2,7,1,0,1,16,9,7,16,8,8,4,2,2,6,3,3
PELKACHAUR,1801,796,1005,24,15,9,12,5,7,2,2,0,0,0,0,8,4,4,6,3,3,0,0,0,3,2,1
PIDIKHOLA,4832,2090,2742,29,18,11,30,16,14,21,13,8,3,0,3,16,8,8,4,3,1,11,9,2,10,4,6
PUTALIBAZAR MUNICIPALITY,30281,13318,16963,140,84,56,79,49,30,52,20,32,5,2,3,63,27,36,40,23,17,9,4,5,35,22,13
RANGVANG,2825,1222,1603,19,10,9,7,3,4,8,4,4,1,1,0,5,1,4,3,1,2,2,0,2,5,1,4
RAPAKOT,3732,1598,2134,37,20,17,21,9,12,5,2,3,1,0,1,13,8,5,6,3,3,3,1,2,9,5,4
RATNAPUR,3870,1649,2221,16,11,5,4,2,2,13,9,4,0,0,0,11,5,6,2,2,0,1,1,0,3,2,1
SAKHAR,4518,1920,2598,33,18,15,23,14,9,11,6,5,1,0,1,24,13,11,7,6,1,1,1,0,12,4,8
DARAU,2184,907,1277,34,22,12,37,12,25,6,2,4,3,1,2,9,6,3,8,4,4,1,1,0,4,3,1
SEKHAM,4076,1706,2370,51,37,14,8,6,2,8,5,3,0,0,0,19,9,10,9,7,2,5,4,1,7,4,3
SETIDOBHAN,3045,1287,1758,9,3,6,17,9,8,10,5,5,4,2,2,6,3,3,4,3,1,1,1,0,2,0,2
SHREEKRISHNA GANDAKI,8666,3807,4859,66,35,31,14,6,8,25,14,11,4,2,2,14,7,7,9,4,5,10,4,6,7,5,2
SIRSEKOT,3515,1505,2010,32,22,10,9,5,4,4,1,3,0,0,0,11,5,6,5,1,4,2,2,0,3,2,1
SWOREK,5054,2060,2994,50,31,19,15,8,7,16,7,9,1,1,0,23,8,15,9,5,4,8,2,6,4,1,3
TAKSAR,2010,843,1167,23,15,8,9,5,4,4,2,2,0,0,0,8,2,6,7,3,4,0,0,0,0,0,0
THULADIHI,3150,1333,1817,31,18,13,9,3,6,7,5,2,0,0,0,11,6,5,6,5,1,4,0,4,7,6,1
THUMPOKHARA,5293,2262,3031,35,23,12,14,9,5,12,8,4,0,0,0,15,6,9,6,4,2,2,2,0,13,8,5
TINDOBATE,4533,1899,2634,14,8,6,9,2,7,8,4,4,1,1,0,8,5,3,12,6,6,4,3,1,7,3,4
TULSIBHANJYANG,4363,1896,2467,23,11,12,10,4,6,13,5,8,1,0,1,11,8,3,10,4,6,1,0,1,7,4,3
WALING MUNICIPALITY,23692,10641,13051,122,70,52,44,19,25,35,12,23,5,4,1,43,30,13,31,18,13,10,6,4,24,9,15
BANGSING DEURALI,2308,962,1346,21,14,7,14,3,11,10,4,6,1,1,0,7,5,2,7,5,2,3,0,3,3,2,1
YALADI,1699,740,959,24,14,10,10,8,2,9,6,3,0,0,0,5,5,0,4,1,3,3,2,1,11,3,8
INSTITUTIONAL,1041,956,85,0,0,0,1,1,0,2,2,0,0,0,0,1,1,0,2,1,1,1,1,0,0,0,0
