VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ANDHERI NARAYANSTHAN,392,494,263,335,127,159,2,0
BAKSA,398,476,312,340,81,129,5,7
BALAKHU,843,939,653,628,180,300,10,11
BARNALU,543,643,387,393,116,161,40,89
BARUNESHWOR,581,642,435,482,140,155,6,5
BETINI,421,552,329,394,86,150,6,8
BHADAURE,611,737,499,514,106,210,6,13
BHUSSINGA,363,365,275,291,88,74,0,0
BIGUTAR,463,466,352,308,106,148,5,10
BILANDU,460,537,348,370,112,167,0,0
CHYANAM,553,614,451,447,99,160,3,7
DIYALE,417,509,327,367,85,135,5,7
FEDIGUTH,775,913,607,633,168,279,0,1
FULBARI,635,777,487,522,144,249,4,6
GAMNANGTAR,598,621,516,483,71,130,11,8
HARKAPUR,462,553,348,364,114,186,0,3
JANTARKHANI,356,478,285,310,71,167,0,1
JYAMIRE,351,432,296,320,50,103,5,9
KALIKADEVI,440,534,382,379,58,154,0,1
KHIGIKATI,355,437,273,325,76,106,6,6
KATUNJE,916,1008,667,675,242,323,7,10
KETUKE,527,626,416,409,106,187,5,30
KHIJI CHANDESHWORI,273,287,213,207,58,79,2,1
KHIJIFALATE,746,879,541,572,203,301,2,6
KUIBHIR,306,359,250,267,54,87,2,5
KUNTADEVI,419,438,335,321,82,108,2,9
MADHAVPUR,515,641,409,446,106,192,0,3
MAMKHA,574,731,450,540,110,176,14,15
MANEBHANJYANG,617,681,482,498,126,157,9,26
MOLI,349,426,292,299,57,127,0,0
MULKHARKA,651,879,477,556,135,261,39,62
NARMEDESHWOR,282,346,243,257,31,73,8,16
OKHALDHUNGA,798,848,644,613,140,222,14,13
PALAPU,1159,1429,819,825,263,463,77,141
PALTE,839,836,493,431,339,398,7,7
POKALI,630,655,472,469,150,181,8,5
POKHARE,244,282,179,208,60,73,5,1
PRAPCHA,235,251,205,208,30,40,0,3
RAGADEEP,420,505,283,356,127,139,10,10
RAGANI,855,854,653,611,192,230,10,13
RANIBAN,337,451,273,317,60,127,4,7
RATMATA,462,487,368,350,91,131,3,6
RAWADOLU,317,332,224,228,93,103,0,1
RUMJATAR,446,469,307,296,84,108,55,65
SALLERI,280,310,223,232,55,72,2,6
SERNA,250,300,181,181,56,97,13,22
SHREECHAUR,648,723,483,490,165,232,0,1
SINGHADEVI,424,446,351,334,69,103,4,9
SISNERI,888,1037,678,723,192,269,18,45
TALUWA,365,470,327,375,38,95,0,0
TARKERABARI,404,474,314,354,89,119,1,1
THAKLE,633,680,488,511,142,166,3,3
TOKSEL,626,614,453,406,169,198,4,10
THULACHHAP,549,638,439,435,109,203,1,0
UBU,541,653,433,482,107,171,1,0
YASAM,539,670,456,523,82,142,1,5
INSTITUTIONAL,359,20,85,16,272,4,2,0
