VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AMAHIBARIYATI,6221,3016,3205,50,36,14,21,12,9,5,4,1,0,0,0,10,4,6,4,4,0,3,2,1,15,7,8
AMARDAHA,13692,6429,7263,143,85,58,47,28,19,35,19,16,5,2,3,38,27,11,18,15,3,7,4,3,18,8,10
AMGACHHI,5105,2394,2711,41,26,15,19,13,6,16,9,7,2,0,2,4,2,2,10,7,3,0,0,0,6,4,2
BABIYA BIRTA,14409,6889,7520,106,57,49,27,12,15,14,12,2,0,0,0,36,20,16,10,7,3,11,8,3,13,5,8
BAHUNI,11943,5524,6419,84,53,31,43,20,23,32,17,15,3,1,2,33,10,23,15,8,7,4,3,1,23,13,10
BAIJANATHPUR,5580,2788,2792,23,15,8,11,6,5,8,3,5,0,0,0,6,6,0,3,3,0,2,1,1,7,2,5
BANIGAMA,8598,4047,4551,32,20,12,31,17,14,18,9,9,2,2,0,26,16,10,5,2,3,4,2,2,17,7,10
BARADANGA,11176,5672,5504,51,31,20,24,13,11,15,10,5,1,1,0,25,9,16,7,2,5,0,0,0,6,3,3
BAYARBAN,20019,9091,10928,159,94,65,73,39,34,80,43,37,7,4,3,44,25,19,34,14,20,25,10,15,45,21,24
BELBARI,23585,10777,12808,141,82,59,91,43,48,121,67,54,2,1,1,56,31,25,25,11,14,8,3,5,47,23,24
BHAUDAHA,6859,3455,3404,41,22,19,25,12,13,11,7,4,2,2,0,19,13,6,6,3,3,2,1,1,11,6,5
BHOGATENI,5098,2331,2767,64,36,28,56,28,28,41,20,21,2,1,1,27,16,11,6,3,3,4,3,1,57,29,28
BIRATNAGAR SUB-METROPOLITAN CITY,199178,100848,98330,804,487,317,251,126,125,154,82,72,32,20,12,273,141,132,198,124,74,90,44,46,145,77,68
BUDHANAGAR,13971,7051,6920,99,76,23,21,12,9,10,8,2,2,1,1,31,23,8,12,8,4,9,5,4,11,5,6
DADARBAIRIYA,8619,4264,4355,34,26,8,7,6,1,2,1,1,1,1,0,9,8,1,3,1,2,1,1,0,6,2,4
DAINIYA,14112,7159,6953,122,73,49,49,25,24,29,17,12,1,1,0,24,14,10,14,8,6,21,12,9,16,11,5
DANGIHAT,21646,9680,11966,148,77,71,64,39,25,58,26,32,13,9,4,80,44,36,26,12,14,9,5,4,21,14,7
DANGRAHA,5328,2562,2766,35,19,16,25,14,11,27,14,13,1,1,0,17,6,11,8,4,4,7,5,2,2,1,1
DRABESH,16437,7690,8747,63,44,19,30,19,11,18,10,8,10,5,5,39,27,12,19,8,11,13,7,6,23,9,14
DULARI,13746,6476,7270,106,60,46,44,27,17,40,23,17,1,0,1,34,20,14,22,16,6,6,3,3,31,14,17
