VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BHRAKA,45,56,28,40,17,16,0,0
CHAME,163,173,116,117,45,55,2,1
DHARAPANI,136,143,114,112,22,31,0,0
FU,34,41,23,31,10,9,1,1
GHYARU,4,6,3,5,1,1,0,0
KHANGSAR,53,32,27,19,26,13,0,0
MANANG,134,77,45,58,89,17,0,2
NAR,58,66,29,32,29,34,0,0
NGAWAL,55,40,35,28,20,12,0,0
PISANG,39,34,22,19,17,15,0,0
TACHAI BAGARCHHAP,78,104,63,75,15,28,0,1
TANKI MANANG,66,48,36,30,30,18,0,0
THOCHE,47,62,43,53,4,9,0,0
INSTITUTIONAL,148,35,62,34,86,1,0,0
