VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BADAGAUN,677,16,33,2
BAFUKHOLA,451,88,93,7
BAJH KANDA,469,65,48,3
BAME,912,5,39,3
BHALCHAUR,1105,88,82,10
CHANDE,782,11,57,26
CHHAYACHHETRA,805,343,154,0
DAMACHAUR,559,460,148,5
DANDAGAUN,590,286,108,1
DARMAKOT,831,27,126,5
DEVSTHAL,701,235,64,2
DHAJARI PIPAL,1062,11,42,2
DHAKADAM,1100,17,62,7
DHANWANG,597,432,183,3
HIWALCHA,734,76,76,6
JIMALI,422,137,47,5
KABHRECHAUR,982,23,24,11
KAJERI,853,70,101,41
KALAGAUN,1239,71,56,12
KALIMATI KALCHE,925,164,67,32
KALIMATI RAMPUR,949,292,70,13
KARAGITHI,311,200,31,0
KAVRA,343,284,104,2
KHALANGA,354,1184,354,51
KORBANG JHIMPE,945,172,103,7
KOTBARA,846,132,82,16
KOTMALA,442,367,158,0
KUPINDE DAHA,848,11,361,16
LAXMIPUR,528,8,252,3
LEKHPOKHARA,414,105,185,3
MAJH KANDA,807,80,46,3
MARKE,513,100,216,3
MARMAPARIKANDA,700,21,144,0
MULKHOLA,998,57,21,0
NIGALCHULA,376,25,31,5
PHALAWANG,674,389,59,6
PIPAL NETA,176,208,42,1
RIM,626,145,63,1
SAIJUWAL TAKURA,316,197,257,6
SARPANI GARPA,789,59,40,0
SIBARATHA,922,122,93,0
SIDDHESWAR,694,149,91,9
SINWANG,547,53,109,10
SUIKOT,1050,39,62,12
SYANIKHAL,334,339,209,16
THARMARE,966,552,140,2
TRIBENI,685,291,63,5
TOTAL,32949,8206,4996,373
