VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ALAMPU,418,421,332,302,74,110,12,9
BABARE,697,884,556,665,113,179,28,40
BHEDAPU,678,853,581,644,90,193,7,16
BHIMESHWOR MUNICIPALITY,3896,4023,3147,3019,652,870,97,134
BHIRKOT,468,579,368,408,94,171,6,0
BHUSAFEDA,374,448,291,315,76,101,7,32
BIGU,338,366,232,261,94,93,12,12
BOCHA,446,603,345,420,96,165,5,18
BULUNG,437,449,368,336,66,111,3,2
CHANKHU,265,249,201,168,58,74,6,7
CHHETRAPA,461,516,395,423,66,93,0,0
CHILANKHA,604,680,470,487,127,183,7,10
CHYAMA,556,641,464,473,86,161,6,7
DANDAKHARKA,842,1030,694,744,138,281,10,5
TAMCHET DUDHPOKHARI,437,492,338,353,97,134,2,5
FASKU,730,926,605,674,108,222,17,30
GAIRIMUDI,808,853,667,650,137,197,4,6
GAURI SANKAR,170,192,105,117,64,73,1,2
GHYANG SUKATHOKAR,833,923,675,683,148,237,10,3
HAWA,342,435,253,303,75,107,14,25
JAPHE,701,741,547,559,141,165,13,17
JHULE,386,499,321,395,65,104,0,0
JHYAKU,1008,1133,744,755,252,370,12,8
JIRI,1437,1621,1159,1208,222,313,56,100
JUNGU,781,894,676,687,104,205,1,2
KABHRE,812,938,685,747,119,176,8,15
KALINCHOWK,689,682,467,415,220,263,2,4
KATAKUTI,736,861,622,664,111,193,3,4
KHARE,405,387,268,247,123,134,14,6
KHOPACHAGU,486,531,326,313,160,218,0,0
LADUK,744,804,618,606,119,177,7,21
LAKURIDANDA,759,840,573,583,184,251,2,6
LAMABAGAR,460,504,323,312,137,192,0,0
LAMIDANDA,905,911,720,692,166,199,19,20
LAPILANG,1136,1139,889,849,237,271,10,19
MAGAPAUWA,563,600,470,458,87,133,6,9
MALI,522,616,411,423,103,172,8,21
MALU,477,512,404,389,59,109,14,14
MARBU,279,308,175,174,103,134,1,0
MELUNG,628,770,513,550,86,153,29,67
MIRGE,649,820,552,621,87,179,10,20
NAMDU,857,970,677,729,175,230,5,11
ORANG,477,479,347,314,127,161,3,4
PAWATI,852,1021,670,717,147,223,35,81
SAHARE,648,768,581,641,65,125,2,2
SAILUNGESWOR,832,1026,676,731,136,238,20,57
SUNKHANI,848,966,692,744,148,207,8,15
SUNDRAWATI,541,559,417,430,100,95,24,34
SURI,601,647,461,452,120,172,20,23
SUSPA KSHYAMAWATI,670,764,513,570,151,188,6,6
SYAMA,355,460,284,318,54,96,17,46
THULOPATAL,740,872,585,625,151,242,4,5
INSTITUTIONAL,352,121,208,98,144,22,0,1
