VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AGARA,938,420,208,6
AMBHANJYANG,233,753,410,7
BAJRABARAHI,508,853,267,2
BASAMADI,1322,1286,938,11
BETINI,537,1,79,0
BHAISE,612,413,357,6
BHARTA PUNDYADEVI,671,8,12,2
BHIMFEDI,20,963,176,2
BUDHICHAUR,61,247,61,1
CHITLANG,359,615,197,1
CHURIYAMAI,951,1514,510,5
DAMAN,698,900,312,3
DANDAKHARKA,614,19,85,2
DHIYAL,1027,33,29,1
FAKHEL,233,656,120,2
FAPARBARI,2097,533,585,6
GOGANE,770,114,98,1
HANDIKHOLA,2107,1002,565,2
HATIYA,716,1764,261,10
HETAUDA MUNICIPALITY,738,16070,2967,76
HURNAMADI,454,885,175,10
IPA PANCHAKANYA,314,105,38,2
KALIKATAR,718,28,47,3
KANKADA,1033,131,139,1
KHAIRANG,522,2,57,2
KOGATE,129,150,1,0
KULEKHANI,290,306,73,1
MAKWANPURGADHI,1485,802,278,11
MANAHARI,1856,1349,1004,6
MANTHALI,446,32,31,0
MARKHU,152,462,19,1
NAMTAR,1031,351,319,8
NIBUWATAR,305,467,110,2
PADAM POKHARI,867,1450,1282,8
PALUNG,346,624,264,2
RAIGAUN,1718,130,41,4
RAKSIRANG,941,29,182,0
SARIKHET PALASE,1095,121,301,1
SHIKHARPUR,892,41,118,3
SHREEPUR CHHATIWAN,2864,1018,287,3
SISNERI MAHADEVSTHAN,292,359,84,4
SUKAURA,375,180,96,3
THINGAN,514,155,44,0
TISTUNG DEURALI,858,496,48,3
TOTAL,34709,37837,13275,224
