VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ANBUKHAIRENI,469,265,204,4489,2249,2240,2793,1282,1511,1240,601,639,1294,683,611,656,337,319,200,115,85,54,40,14,10,4,6,947,453,494,37,16,21
ARUNODAYA,81,45,36,1403,679,724,836,354,482,411,175,236,193,101,92,93,46,47,24,14,10,3,3,0,0,0,0,274,124,150,15,6,9
BAIDI,94,50,44,1467,743,724,560,298,262,184,99,85,110,58,52,34,20,14,10,9,1,1,1,0,2,2,0,467,207,260,29,12,17
BANDIPUR,253,135,118,3609,1820,1789,2036,980,1056,909,447,462,870,473,397,409,219,190,126,91,35,32,25,7,7,2,5,513,218,295,20,11,9
BARBHANJYANG,95,43,52,1476,725,751,806,358,448,379,182,197,253,128,125,94,62,32,23,15,8,7,6,1,2,2,0,163,96,67,26,4,22
BASANTAPUR,37,20,17,859,409,450,589,274,315,284,142,142,177,92,85,35,18,17,9,8,1,8,6,2,0,0,0,117,68,49,40,13,27
BHANU,294,134,160,3849,1904,1945,2171,974,1197,977,472,505,777,414,363,301,165,136,104,72,32,26,24,2,11,8,3,488,191,297,13,10,3
BHANUMATI,68,30,38,1487,726,761,767,339,428,372,157,215,228,130,98,83,35,48,25,16,9,4,3,1,4,2,2,263,103,160,4,1,3
BHIMAD,314,172,142,2256,1129,1127,1548,655,893,744,333,411,710,350,360,321,153,168,98,58,40,27,22,5,11,5,6,238,77,161,95,48,47
BHIRKOT,138,55,83,1671,803,868,650,304,346,253,137,116,152,98,54,51,30,21,13,9,4,3,3,0,3,2,1,46,17,29,14,5,9
BYAS MUNICIPALITY,1187,630,557,10706,5336,5370,7216,3204,4012,3928,1796,2132,4181,2097,2084,2352,1190,1162,956,578,378,350,291,59,19,9,10,1965,618,1347,100,45,55
CHHANG,74,43,31,1638,855,783,1062,472,590,517,232,285,327,175,152,169,88,81,51,34,17,10,6,4,7,3,4,265,105,160,29,20,9
CHHIMKESHWORI,65,28,37,624,301,323,173,93,80,26,16,10,25,18,7,13,8,5,1,1,0,0,0,0,1,0,1,70,49,21,6,3,3
CHHIPCHHIPE,70,46,24,879,428,451,283,135,148,82,41,41,79,38,41,12,7,5,1,1,0,0,0,0,2,1,1,210,84,126,4,2,2
CHOK CHISAPANI,59,24,35,1091,528,563,656,306,350,329,171,158,238,130,108,122,61,61,43,32,11,10,9,1,1,0,1,180,69,111,1,0,1
DEURALI,63,31,32,811,421,390,217,102,115,66,29,37,44,20,24,20,12,8,4,2,2,1,0,1,1,0,1,15,7,8,10,1,9
DEVGHAT,111,64,47,2290,1207,1083,989,505,484,449,250,199,228,142,86,124,72,52,50,36,14,38,36,2,1,1,0,160,87,73,21,10,11
DHARAMPANI,37,23,14,851,444,407,415,190,225,166,89,77,76,37,39,17,10,7,9,7,2,2,2,0,0,0,0,261,141,120,3,0,3
DHORFIRDI,395,220,175,3026,1447,1579,2063,891,1172,1022,477,545,822,419,403,268,136,132,113,69,44,46,35,11,11,6,5,622,286,336,14,7,7
DULEGAUNDA,469,255,214,3977,1984,1993,2782,1263,1519,1735,794,941,1468,754,714,740,348,392,289,161,128,69,50,19,16,8,8,308,134,174,24,16,8
FIRFIRE,6,2,4,1018,504,514,603,261,342,328,170,158,84,38,46,38,22,16,11,8,3,1,0,1,1,1,0,137,78,59,6,3,3
GAJARKOT,169,91,78,1647,807,840,862,372,490,395,178,217,301,161,140,131,70,61,55,37,18,10,9,1,2,0,2,34,12,22,11,6,5
GHANSIKUWA,111,60,51,2429,1165,1264,1306,583,723,662,314,348,446,253,193,181,101,80,44,31,13,15,14,1,1,0,1,400,177,223,16,7,9
JAMUNE BHANJYANG,349,199,150,2605,1273,1332,1536,682,854,836,407,429,558,312,246,289,145,144,111,75,36,22,17,5,11,6,5,790,385,405,29,13,16
KAHU SHIVAPUR,171,86,85,2390,1199,1191,979,468,511,252,131,121,170,92,78,65,38,27,10,9,1,1,1,0,1,0,1,82,36,46,10,3,7
KESHAVTAR,58,24,34,1403,735,668,836,387,449,324,172,152,191,116,75,88,50,38,23,14,9,6,4,2,0,0,0,87,32,55,4,3,1
KHAIRENITAR,324,183,141,3015,1523,1492,1876,771,1105,952,425,527,910,432,478,332,162,170,95,55,40,25,21,4,8,4,4,352,134,218,26,8,18
KIHUN,131,72,59,1000,468,532,623,258,365,294,138,156,218,112,106,64,39,25,26,18,8,9,9,0,14,14,0,149,76,73,13,2,11
KOTA,135,73,62,1252,664,588,412,201,211,167,88,79,87,51,36,19,8,11,5,4,1,1,1,0,0,0,0,173,87,86,22,8,14
KOTDARBAR,158,80,78,1879,920,959,655,304,351,247,104,143,103,45,58,34,23,11,11,5,6,0,0,0,0,0,0,239,82,157,11,7,4
KYAMIN,93,44,49,1594,711,883,933,467,466,517,227,290,279,144,135,119,70,49,31,25,6,3,3,0,1,1,0,211,66,145,90,32,58
MAJHAKOT,73,43,30,1892,926,966,1014,404,610,428,166,262,288,150,138,87,40,47,12,6,6,6,4,2,1,1,0,257,131,126,96,56,40
MANPANG,178,83,95,2012,977,1035,1141,491,650,530,255,275,275,146,129,143,74,69,38,25,13,4,4,0,7,3,4,116,48,68,9,3,6
POKHARI BHANJYANG,67,35,32,1129,568,561,620,298,322,299,164,135,95,62,33,102,65,37,15,9,6,14,9,5,1,0,1,157,77,80,3,1,2
PURKOT,139,70,69,2021,956,1065,1150,487,663,610,297,313,490,243,247,186,96,90,55,36,19,13,12,1,11,6,5,153,74,79,5,2,3
RAIPUR,43,27,16,975,432,543,678,306,372,404,195,209,281,166,115,69,31,38,66,42,24,8,6,2,0,0,0,147,75,72,23,11,12
RAMJAKOT,87,42,45,1593,778,815,612,298,314,292,143,149,162,84,78,45,27,18,18,11,7,2,2,0,6,4,2,173,73,100,13,5,8
RANIPOKHARI (RESING),121,61,60,1203,553,650,563,243,320,233,100,133,225,102,123,50,24,26,21,16,5,7,5,2,8,4,4,350,149,201,1,1,0
RISTI,36,11,25,497,255,242,307,135,172,156,87,69,147,80,67,61,33,28,19,15,4,5,4,1,0,0,0,152,65,87,7,6,1
