VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
BHIYEE,1382,660,722,6,2,4,7,3,4,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHAINAKOT,2247,1118,1129,60,36,24,31,17,14,29,15,14,0,0,0,17,15,2,3,0,3,3,1,2,8,5,3
DOLPHU,381,177,204,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUMTHA,2442,1214,1228,58,35,23,27,9,18,41,27,14,3,2,1,9,7,2,7,6,1,4,2,2,7,4,3
HYANGLU,1979,990,989,34,21,13,26,12,14,14,8,6,6,4,2,4,0,4,1,1,0,1,1,0,2,1,1
JIMA,2783,1361,1422,12,6,6,20,10,10,12,8,4,2,2,0,5,1,4,1,1,0,1,1,0,5,4,1
KARKIBADA,3537,1773,1764,32,17,15,21,7,14,39,24,15,3,1,2,13,8,5,4,2,2,2,1,1,3,1,2
KIMRI,561,249,312,4,3,1,7,4,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5,2,3
KOT DANDA,1763,858,905,13,11,2,14,10,4,12,7,5,1,0,1,2,2,0,2,1,1,0,0,0,5,2,3
MANGRI,2347,1167,1180,26,13,13,10,4,6,32,21,11,0,0,0,12,6,6,2,1,1,1,1,0,9,3,6
MUGU,897,440,457,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NATHARPU,1554,799,755,13,8,5,17,6,11,10,6,4,3,1,2,5,2,3,0,0,0,0,0,0,1,1,0
PHOTU,1332,670,662,8,6,2,10,4,6,10,6,4,0,0,0,5,4,1,1,0,1,1,0,1,4,1,3
PINA,3666,1857,1809,69,48,21,19,9,10,47,27,20,6,4,2,11,8,3,6,5,1,9,7,2,14,5,9
PULU,1047,483,564,12,8,4,11,4,7,14,3,11,1,0,1,3,2,1,0,0,0,1,1,0,6,3,3
RARA,1351,695,656,19,14,5,13,3,10,9,6,3,0,0,0,3,2,1,0,0,0,1,1,0,3,1,2
KALAI,1465,740,725,40,19,21,19,8,11,17,9,8,4,1,3,3,2,1,3,2,1,2,0,2,4,2,2
ROWA,4276,2160,2116,48,28,20,18,9,9,60,34,26,3,2,1,14,9,5,9,7,2,3,0,3,8,4,4
RUGA,3768,1920,1848,39,22,17,20,14,6,43,23,20,5,3,2,16,11,5,2,0,2,2,1,1,4,2,2
KHAMALE,1704,866,838,11,7,4,20,7,13,30,18,12,1,1,0,4,2,2,3,2,1,0,0,0,12,5,7
SERI,2249,1161,1088,23,12,11,11,6,5,8,5,3,0,0,0,12,8,4,0,0,0,0,0,0,4,2,2
SHREEKOT,3571,1793,1778,31,20,11,19,10,9,32,13,19,1,0,1,8,3,5,6,4,2,2,0,2,6,3,3
SHREENAGAR,3807,1963,1844,38,18,20,11,7,4,22,11,11,2,1,1,10,6,4,3,1,2,6,4,2,7,6,1
SUKADHIK,2806,1409,1397,24,13,11,18,10,8,11,6,5,4,4,0,2,1,1,4,2,2,1,1,0,1,0,1
INSTITUTIONAL,454,436,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
