VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
BALIYA,40330,18917,21413,438,229,209,244,121,123,170,81,89,12,5,7,105,60,45,67,34,33,16,7,9,79,37,42
BASAUTI,6175,2971,3204,39,22,17,42,20,22,13,4,9,6,3,3,47,26,21,9,5,4,4,2,2,12,4,8
BELADEVIPUR,11034,5229,5805,122,70,52,78,38,40,57,29,28,8,3,5,45,30,15,14,9,5,7,4,3,35,16,19
BHAJANI,14671,7384,7287,93,56,37,44,20,24,43,22,21,3,2,1,18,8,10,19,7,12,3,0,3,23,8,15
BONIYA,13661,6427,7234,67,39,28,47,28,19,37,17,20,6,3,3,35,17,18,14,7,7,11,7,4,21,15,6
CHUHA,19484,9039,10445,132,68,64,103,43,60,56,29,27,11,4,7,45,29,16,23,14,9,16,7,9,21,14,7
CHAUMALA,26891,12355,14536,255,144,111,111,57,54,104,63,41,14,4,10,67,44,23,91,36,55,23,13,10,30,13,17
DHANSINGHAPUR,8643,4080,4563,49,35,14,18,8,10,12,7,5,0,0,0,11,5,6,10,4,6,3,1,2,4,2,2
DARAKH,17490,8614,8876,48,30,18,35,22,13,16,11,5,4,2,2,18,8,10,3,2,1,0,0,0,9,4,5
DHANGADHI MUNICIPALITY,100799,50831,49968,476,258,218,215,97,118,144,72,72,11,6,5,121,71,50,97,46,51,32,19,13,75,39,36
DODODHARA,19369,9185,10184,159,93,66,93,50,43,90,43,47,1,0,1,58,31,27,24,19,5,3,2,1,30,15,15
DURGAULI,13407,6195,7212,94,61,33,53,21,32,28,14,14,2,0,2,39,21,18,23,8,15,5,1,4,32,19,13
GADARIYA,10861,5357,5504,72,42,30,65,30,35,46,16,30,5,3,2,14,7,7,15,9,6,3,2,1,23,15,8
GETA,19077,9354,9723,86,50,36,56,27,29,34,19,15,3,0,3,32,16,16,10,6,4,3,3,0,28,19,9
GODAWARI,15104,6791,8313,182,111,71,78,40,38,78,38,40,3,2,1,62,36,26,26,11,15,9,6,3,30,17,13
HASULIYA,13902,6748,7154,61,37,24,61,28,33,30,18,12,7,2,5,13,7,6,16,10,6,11,6,5,28,16,12
