VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
BALIYA,2243,1178,1065,10537,5455,5082,5675,2943,2732,3077,1692,1385,1947,1182,765,1072,678,394,239,175,64,107,93,14,17,12,5,777,347,430,80,43,37
BASAUTI,275,146,129,1053,583,470,967,491,476,789,464,325,165,93,72,90,59,31,16,16,0,2,2,0,1,0,1,108,72,36,11,8,3
BELADEVIPUR,466,260,206,3075,1633,1442,1623,928,695,794,476,318,328,196,132,223,156,67,65,49,16,17,14,3,7,6,1,363,112,251,1,0,1
BHAJANI,603,329,274,3791,2147,1644,1966,1132,834,1021,632,389,451,286,165,331,220,111,87,63,24,29,27,2,11,7,4,200,93,107,16,8,8
BONIYA,658,362,296,3353,1814,1539,1742,944,798,808,457,351,724,427,297,251,161,90,56,42,14,15,14,1,7,4,3,501,189,312,22,10,12
CHUHA,1043,549,494,4873,2584,2289,2449,1249,1200,1366,775,591,602,383,219,376,258,118,61,53,8,25,20,5,4,2,2,348,138,210,28,8,20
CHAUMALA,1491,812,679,7284,3716,3568,3316,1760,1556,1720,998,722,1061,584,477,422,277,145,115,92,23,15,11,4,13,5,8,681,303,378,29,17,12
DHANSINGHAPUR,263,140,123,2456,1327,1129,1280,680,600,695,402,293,193,120,73,164,111,53,27,20,7,7,6,1,2,0,2,289,100,189,15,6,9
DARAKH,419,226,193,4837,2603,2234,2558,1382,1176,1432,807,625,720,447,273,514,327,187,136,94,42,71,62,9,18,8,10,861,351,510,21,10,11
DHANGADHI MUNICIPALITY,4406,2433,1973,21837,11831,10006,13891,7394,6497,8659,4831,3828,9758,5570,4188,7862,4787,3075,3344,2344,1000,1221,982,239,39,21,18,3381,1111,2270,172,81,91
DODODHARA,1063,585,478,5030,2703,2327,2318,1261,1057,1175,687,488,637,373,264,281,197,84,75,56,19,27,22,5,11,5,6,662,325,337,28,10,18
DURGAULI,424,240,184,3353,1736,1617,1960,1046,914,1322,720,602,463,255,208,386,242,144,110,69,41,16,14,2,5,2,3,710,211,499,9,5,4
GADARIYA,222,123,99,3152,1693,1459,1539,844,695,923,528,395,340,197,143,146,99,47,21,14,7,4,3,1,2,2,0,447,213,234,17,9,8
