VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BHIJER,21,3,69,0
CHHARKA,117,2,0,0
DHO,201,3,6,2
DUNAI,209,420,42,1
JUFAL,21,483,18,0
KAIGAUN,13,99,65,0
KALIKA,121,99,16,0
LAWAN,338,2,9,1
LHNA,22,182,1,0
LIKHU,67,210,138,0
MAJHFAL,69,230,220,0
MUKOT,161,1,0,1
NARKU,159,7,121,1
PAHADA,121,296,18,5
PHOKSUNDO,98,2,14,1
RAHA,143,29,17,1
RIMI,77,41,138,0
SAHARTARA,402,20,8,0
SALDANG,297,3,218,4
SARMI,365,8,29,0
SUNHOO,214,113,36,0
TINJE,246,5,3,2
TRIPURAKOT,195,235,89,2
TOTAL,3677,2493,1275,21
