VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
CHARANG,441,210,231,4,2,2,0,0,0,3,1,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
CHHONHUP,784,356,428,4,3,1,4,1,3,4,2,2,0,0,0,0,0,0,1,1,0,2,1,1,2,1,1
CHHOSER,491,208,283,8,4,4,17,9,8,2,1,1,0,0,0,2,1,1,7,3,4,0,0,0,2,1,1
CHHUSANG,482,233,249,1,0,1,4,1,3,14,6,8,0,0,0,1,0,1,6,4,2,1,0,1,3,3,0
GHAMI,557,266,291,12,10,2,8,1,7,20,6,14,1,0,1,8,1,7,3,0,3,0,0,0,2,1,1
JHONG,248,107,141,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0
JOMSOM,1345,695,650,11,3,8,2,1,1,2,1,1,2,0,2,5,1,4,0,0,0,0,0,0,3,1,2
KAGBENI,918,457,461,3,0,3,1,1,0,3,0,3,1,1,0,4,2,2,1,0,1,2,0,2,4,0,4
KOBANG,679,357,322,7,1,6,5,2,3,16,12,4,0,0,0,16,4,12,3,1,2,0,0,0,1,1,0
KUNJO,649,337,312,5,2,3,3,2,1,10,8,2,0,0,0,23,15,8,2,0,2,2,1,1,17,9,8
LETE,810,423,387,3,2,1,2,2,0,19,11,8,0,0,0,0,0,0,2,1,1,0,0,0,3,2,1
LOMANTHANG,561,271,290,5,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARPHA,1522,822,700,6,3,3,5,4,1,5,3,2,0,0,0,3,1,2,3,1,2,6,4,2,1,1,0
MUKTINATH,615,293,322,4,3,1,3,2,1,2,0,2,0,0,0,3,2,1,0,0,0,1,1,0,0,0,0
SURKHANG,339,169,170,12,5,7,5,3,2,2,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
TUKUCHE,719,356,363,8,3,5,0,0,0,2,1,1,0,0,0,7,4,3,2,0,2,1,0,1,4,2,2
INSTITUTIONAL,1840,1310,530,5,4,1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,8,4,4,2,2,0
