VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AKHIKARICHAUR,1364,1694,977,995,308,517,79,182
AMALACHAUR,698,902,612,678,84,218,2,6
AMARBHUMI,405,558,347,407,52,145,6,6
ARGAL,477,520,397,350,62,157,18,13
ARJEWA,347,408,303,305,37,95,7,8
BATAKACHAUR,795,997,681,700,91,252,23,45
BHAKUNDE,461,629,373,444,86,183,2,2
BHIMPOKHARA,649,798,513,564,121,227,15,7
BHINGGITHE,1224,1535,922,975,246,434,56,126
BIHUNKOT,1122,1388,975,1061,136,308,11,19
BINAMARE,412,515,348,399,59,110,5,6
BOHARAGAUN,1242,1447,963,925,241,481,38,41
BONGADOVAN,1094,1390,855,880,213,465,26,45
BOWANG,1546,1842,925,776,606,1028,15,38
BURTIWANG,1819,2097,1417,1355,312,593,90,149
CHHISTI,901,1119,705,790,184,315,12,14
DAGATUNDADA,1006,1304,805,885,184,395,17,24
DAMEK,1006,1341,852,948,150,376,4,17
DARLING,1350,1523,962,877,235,443,153,203
DEVISTHAN,1595,2005,1249,1320,330,668,16,17
DHAMJA,390,544,353,381,28,124,9,39
DHUDHILABHATI,703,867,600,625,84,210,19,32
DHULLU GAIDI,740,934,626,653,111,271,3,10
DHULLUBASKOT,658,796,561,574,84,201,13,21
GWALICHAUR,795,1005,669,734,116,254,10,17
HARICHAUR,925,1070,797,832,103,221,25,17
HATIYA,1365,1581,1182,1195,170,363,13,23
HEEL,517,646,443,440,56,169,18,37
HUGDISHEER,765,1001,643,701,104,271,18,29
JALJALA,767,1091,612,706,152,382,3,3
BAGLUNG MUNICIPALITY,5059,5114,4290,3941,649,1029,120,144
KANDEBAS,480,533,399,392,78,139,3,2
KHUNGA,760,906,591,594,151,257,18,55
KUSMISHERA,522,605,461,469,51,123,10,13
LEKHANI,351,476,296,363,49,106,6,7
MALIKA,371,458,316,326,54,131,1,1
MALMA,801,904,681,669,104,210,16,25
NARAYANSTHAN,375,508,329,388,42,112,4,8
NARETHANTI,537,770,479,566,57,201,1,3
NISI,1570,1914,1005,1081,522,778,43,55
PAIYUNPATA,831,1004,742,777,79,213,10,14
PAIYUNTHANTHAP,653,805,528,549,117,229,8,27
PALAKOT,623,719,543,513,70,182,10,24
PANDAVKHANI,402,507,313,344,86,161,3,2
RAJKUT,545,745,426,465,99,237,20,43
RANASINKITENI,596,768,415,450,144,282,37,36
RANGKHANI,663,836,529,576,118,239,16,21
RAYADANDA,383,514,321,349,61,162,1,3
RESH,857,1079,735,776,112,273,10,30
RIGHA,659,797,524,587,130,196,5,14
SALYAN,313,434,258,290,43,113,12,31
SARKUWA,430,495,373,374,48,108,9,13
SINGANA,482,618,415,437,60,174,7,7
SISAKHANI,384,515,281,334,98,169,5,12
SUKHAURA,240,268,214,177,26,90,0,1
KHUNGKHANI,446,578,345,358,87,203,14,17
TAMAN,550,662,409,388,127,220,14,54
TANGRAM,631,787,557,577,71,207,3,3
TARA,770,989,627,641,134,324,9,24
TITYANG,629,791,523,555,92,221,14,15
INSTITUTIONAL,805,219,607,193,195,26,3,0
