VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AMALE,187,104,83,620,328,292,226,128,98,66,52,14,98,57,41,33,19,14,6,6,0,1,1,0,0,0,0,109,27,82,0,0,0
ARUNTHAKUR,58,23,35,1841,975,866,599,302,297,212,125,87,125,70,55,57,39,18,14,11,3,2,2,0,3,1,2,77,56,21,22,14,8
BAHUNTILPUNG,71,35,36,825,423,402,344,212,132,145,97,48,143,83,60,92,48,44,15,9,6,7,6,1,3,2,1,147,64,83,3,1,2
BALAJOR,25,15,10,1306,680,626,501,246,255,161,98,63,236,146,90,94,53,41,8,6,2,0,0,0,1,1,0,66,29,37,18,10,8
BASESHWOR,55,30,25,870,494,376,304,167,137,127,88,39,177,104,73,67,45,22,17,9,8,3,3,0,0,0,0,249,94,155,1,1,0
BASTIPUR,17,9,8,816,420,396,320,171,149,148,78,70,37,23,14,51,33,18,11,7,4,1,1,0,0,0,0,135,71,64,3,2,1
BELGHARI,12,7,5,1398,749,649,435,238,197,203,111,92,147,80,67,98,55,43,15,11,4,5,5,0,3,3,0,157,66,91,39,25,14
BHADRAKALI,138,72,66,1108,586,522,636,310,326,291,172,119,295,187,108,63,32,31,23,11,12,0,0,0,1,0,1,179,102,77,0,0,0
BHIMESHWOR,55,34,21,551,291,260,266,167,99,145,92,53,237,144,93,146,84,62,39,28,11,6,5,1,2,1,1,16,7,9,4,2,2
BHIMSTHAN,54,29,25,1809,924,885,671,338,333,278,148,130,364,227,137,233,113,120,33,23,10,16,12,4,1,0,1,112,66,46,1,1,0
BHUWANESHORI GWALTAR,84,46,38,631,360,271,186,106,80,60,37,23,97,57,40,44,26,18,10,9,1,3,1,2,3,1,2,42,24,18,5,2,3
