VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AMBUNG,57,238,493,2
ANGDEEM,98,154,189,2
BASANTAPUR,117,509,484,1
CHHATE DHUNGA,265,76,314,6
CHUHANDANDA,481,36,253,1
DANGAPA,195,112,188,0
ESEEBU,203,80,332,1
EWA,262,133,302,4
HAMARJUNG,208,248,274,1
HWAKU,209,150,285,0
JALJALE,79,62,616,1
JIRIKHIMTI,99,324,319,2
KHAMLALUNG,359,113,143,0
MORAHANG,82,224,475,3
MYANGLUNG,179,1002,506,3
OKHRE,90,87,624,6
OYAKJUNG,351,177,478,1
PANCHAKANYA POKHARI,141,23,287,4
PHAKCHAMARA,203,91,235,0
PHULEK,30,180,125,6
PIPLE,76,102,153,0
POUTHAK,107,63,304,1
SABLA,30,199,338,1
SAMDU,172,142,187,3
SANKRANTI BAZAR,297,82,300,3
SHREE JUNG,137,74,322,2
SIMLE,330,118,463,8
SOLMA,134,333,431,2
SUDAP,90,84,496,1
SUNGNAM,143,226,460,1
TAMFULA,112,125,235,0
THOKLUNG,148,45,304,7
TOTAL,5484,5612,10915,73
