VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ATARPUR,9,8,1,485,260,225,315,168,147,146,82,64,181,95,86,57,28,29,6,2,4,3,2,1,1,0,1,247,120,127,0,0,0
BADEGAU,215,109,106,1152,633,519,604,318,286,337,187,150,290,171,119,151,87,64,26,19,7,10,8,2,1,1,0,243,131,112,23,15,8
BANSBARI,34,18,16,1311,723,588,594,323,271,297,161,136,247,139,108,147,82,65,20,17,3,19,16,3,6,3,3,111,61,50,158,82,76
BANSKHARKA,15,10,5,555,339,216,212,134,78,80,42,38,39,24,15,18,14,4,11,9,2,0,0,0,1,0,1,62,34,28,0,0,0
BARAMCHI,36,18,18,792,410,382,364,208,156,174,113,61,125,64,61,51,25,26,14,13,1,9,8,1,0,0,0,276,159,117,2,2,0
BARHABISE,88,41,47,1880,1070,810,866,482,384,455,254,201,504,290,214,296,153,143,58,38,20,30,29,1,9,6,3,327,166,161,5,4,1
BARUWA,14,8,6,416,211,205,110,59,51,33,20,13,31,22,9,10,8,2,4,4,0,0,0,0,2,2,0,31,21,10,1,0,1
BATASE,67,36,31,1170,630,540,490,252,238,221,116,105,161,95,66,72,28,44,11,7,4,7,7,0,0,0,0,401,182,219,12,5,7
BHIMTAR,126,69,57,1449,746,703,449,251,198,175,113,62,75,50,25,44,30,14,11,8,3,1,0,1,2,1,1,147,42,105,3,1,2
BHOTASIPA,46,24,22,1175,602,573,539,282,257,296,140,156,97,54,43,65,36,29,14,10,4,6,6,0,3,3,0,316,147,169,8,4,4
BHOTE NAMLANG,36,17,19,779,453,326,313,185,128,104,62,42,87,59,28,37,21,16,10,5,5,1,1,0,0,0,0,23,11,12,28,16,12
BHOTECHAUR,57,35,22,1124,599,525,643,318,325,454,264,190,242,138,104,143,71,72,35,30,5,13,13,0,2,1,1,244,143,101,25,15,10
CHOKATI,47,26,21,630,317,313,264,110,154,73,36,37,61,31,30,26,18,8,4,3,1,1,0,1,0,0,0,227,133,94,3,0,3
CHAUTARA,74,36,38,1204,639,565,757,406,351,537,321,216,537,301,236,492,257,235,156,119,37,103,89,14,3,1,2,286,112,174,20,10,10
DHUMTHANG,69,40,29,1190,611,579,386,215,171,116,48,68,66,40,26,20,9,11,10,7,3,1,1,0,1,1,0,203,111,92,2,0,2
DUBACHOUR,182,100,82,1417,777,640,531,307,224,199,107,92,132,83,49,46,26,20,13,10,3,2,2,0,3,2,1,90,46,44,0,0,0
FATAKSHILA,13,6,7,1328,758,570,503,287,216,341,200,141,178,103,75,116,77,39,22,18,4,4,3,1,1,1,0,103,31,72,5,4,1
FULPINGDANDA,96,46,50,1218,677,541,603,326,277,312,170,142,291,161,130,118,64,54,34,28,6,9,6,3,4,4,0,268,136,132,16,6,10
FULPINGKATTI,62,34,28,863,499,364,323,183,140,139,83,56,106,76,30,47,29,18,9,7,2,7,7,0,2,0,2,289,174,115,5,3,2
FULPINGKOT,57,27,30,816,432,384,419,232,187,225,114,111,124,80,44,65,26,39,12,5,7,3,2,1,1,1,0,340,167,173,10,7,3
GATI,16,10,6,1249,680,569,364,218,146,142,69,73,52,28,24,27,19,8,8,5,3,4,4,0,2,2,0,117,77,40,7,3,4
GHORTHALI,9,2,7,599,354,245,146,80,66,54,30,24,21,14,7,27,17,10,4,3,1,0,0,0,0,0,0,138,68,70,0,0,0
DHUSKUN,79,44,35,622,301,321,332,157,175,128,72,56,114,60,54,62,32,30,10,10,0,3,2,1,2,1,1,439,240,199,1,1,0
GLOCHE,10,6,4,1115,618,497,214,139,75,52,35,17,34,26,8,29,14,15,7,6,1,0,0,0,1,0,1,160,97,63,3,3,0
GUMBA,32,19,13,896,467,429,174,119,55,34,23,11,35,23,12,17,10,7,0,0,0,0,0,0,2,0,2,106,79,27,0,0,0
GUNSAKOT,46,29,17,470,266,204,133,80,53,46,26,20,18,17,1,7,6,1,3,2,1,1,1,0,0,0,0,86,52,34,5,2,3
HAGAM,121,58,63,1145,613,532,281,180,101,74,48,26,29,24,5,24,16,8,3,3,0,0,0,0,0,0,0,91,53,38,2,2,0
HAIBUNG,81,49,32,649,338,311,234,131,103,111,68,43,71,40,31,42,22,20,3,3,0,0,0,0,0,0,0,178,85,93,35,17,18
HELAMBU,75,38,37,576,279,297,219,110,109,80,42,38,53,33,20,42,29,13,20,17,3,6,6,0,1,1,0,285,181,104,9,1,8
ICHOK,14,6,8,1352,766,586,476,255,221,217,109,108,97,46,51,100,57,43,19,12,7,6,6,0,0,0,0,87,44,43,3,1,2
IRKHU,55,31,24,957,502,455,392,196,196,178,88,90,82,41,41,37,10,27,6,5,1,4,2,2,2,1,1,60,30,30,2,2,0
JALBIRE,70,39,31,580,299,281,298,158,140,136,75,61,191,111,80,105,54,51,14,11,3,10,9,1,1,0,1,245,129,116,2,2,0
JETHAL,23,13,10,598,323,275,396,218,178,169,88,81,185,112,73,66,37,29,11,9,2,1,1,0,3,1,2,233,84,149,18,13,5
JYAMIRE,70,41,29,1401,747,654,599,329,270,237,152,85,179,104,75,86,55,31,7,6,1,3,3,0,2,2,0,89,27,62,19,8,11
KADAMBAS,37,22,15,829,420,409,380,172,208,219,100,119,81,33,48,73,37,36,10,7,3,6,5,1,3,2,1,108,56,52,1,1,0
