VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
BHRAKA,301,146,155,1,1,0,0,0,0,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
CHAME,1102,580,522,7,5,2,3,3,0,8,3,5,0,0,0,5,4,1,1,0,1,0,0,0,3,2,1
DHARAPANI,986,498,488,1,1,0,1,1,0,8,5,3,0,0,0,8,6,2,0,0,0,0,0,0,8,4,4
FU,170,86,84,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0
GHYARU,64,29,35,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,2,1,1,0,0,0,1,0,1
KHANGSAR,243,129,114,3,3,0,0,0,0,5,1,4,0,0,0,1,1,0,1,0,1,0,0,0,4,4,0
MANANG,621,369,252,4,2,2,2,1,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NAR,338,161,177,4,4,0,4,1,3,8,2,6,1,0,1,0,0,0,4,2,2,2,0,2,1,0,1
NGAWAL,269,149,120,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,2,0,0,0,0,0,0
PISANG,300,154,146,2,2,0,1,0,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0
TACHAI BAGARCHHAP,495,243,252,5,3,2,0,0,0,10,4,6,0,0,0,6,1,5,1,0,1,0,0,0,27,12,15
TANKI MANANG,362,195,167,12,6,6,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THOCHE,372,169,203,2,1,1,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,3,2,1
INSTITUTIONAL,711,646,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
