VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ARBA VIJAYA,52,29,23,767,367,400,648,299,349,474,254,220,275,161,114,235,125,110,86,58,28,23,21,2,8,8,0,89,37,52,14,8,6
ARMALA,122,65,57,1460,745,715,915,423,492,450,223,227,479,231,248,227,105,122,41,27,14,9,8,1,0,0,0,130,46,84,4,2,2
BHACHOK,29,16,13,330,182,148,190,93,97,87,45,42,115,73,42,37,26,11,15,10,5,2,2,0,0,0,0,63,21,42,2,1,1
BHADAURE TAMAGI,74,42,32,740,361,379,475,199,276,328,170,158,202,123,79,76,44,32,42,28,14,8,8,0,0,0,0,256,133,123,8,5,3
BHARAT POKHARI,204,123,81,2443,1195,1248,1767,801,966,1115,555,560,681,347,334,416,242,174,122,91,31,29,24,5,6,1,5,213,89,124,27,13,14
CHAPAKOT,16,11,5,599,296,303,529,237,292,262,130,132,220,115,105,61,36,25,17,14,3,3,3,0,1,0,1,124,48,76,5,1,4
DANGSING,68,38,30,904,450,454,464,205,259,268,146,122,152,70,82,57,34,23,12,6,6,2,2,0,2,2,0,68,24,44,1,1,0
DEURALI,70,30,40,619,286,333,390,179,211,232,110,122,184,104,80,74,46,28,21,14,7,3,3,0,0,0,0,1,0,1,2,1,1
DHAMPUS,98,57,41,673,339,334,411,182,229,202,102,100,152,95,57,62,27,35,16,7,9,6,6,0,1,0,1,45,6,39,2,1,1
DHIKUR POKHARI,174,95,79,1463,686,777,1195,532,663,798,408,390,606,329,277,320,180,140,152,115,37,37,34,3,0,0,0,214,121,93,3,2,1
DHITAL,25,16,9,519,250,269,432,201,231,347,162,185,207,138,69,84,45,39,29,20,9,6,6,0,1,0,1,69,41,28,7,5,2
GHACHOK,21,11,10,664,321,343,380,190,190,272,145,127,232,141,91,143,87,56,79,50,29,12,12,0,2,1,1,103,51,52,4,3,1
