VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
ARBA VIJAYA,3823,1714,2109,35,26,9,20,12,8,15,8,7,3,3,0,9,5,4,9,8,1,0,0,0,9,6,3
ARMALA,5108,2267,2841,67,35,32,32,19,13,45,20,25,14,4,10,18,13,5,9,7,2,2,2,0,33,9,24
BHACHOK,1466,675,791,13,7,6,9,5,4,4,1,3,2,1,1,3,1,2,1,0,1,6,4,2,7,3,4
BHADAURE TAMAGI,3116,1379,1737,71,45,26,18,12,6,14,7,7,1,1,0,17,12,5,6,4,2,4,3,1,10,5,5
BHARAT POKHARI,9630,4254,5376,50,37,13,25,12,13,31,13,18,0,0,0,20,10,10,21,14,7,15,7,8,14,6,8
CHAPAKOT,2559,1108,1451,23,12,11,17,12,5,14,8,6,3,2,1,10,7,3,5,2,3,0,0,0,6,0,6
DANGSING,2985,1315,1670,21,13,8,12,6,6,15,5,10,0,0,0,11,8,3,8,4,4,0,0,0,6,5,1
DEURALI,2287,975,1312,29,15,14,19,9,10,15,7,8,3,2,1,7,3,4,7,1,6,4,3,1,2,2,0
DHAMPUS,2453,1092,1361,35,14,21,9,3,6,23,12,11,0,0,0,6,2,4,2,0,2,3,2,1,6,2,4
DHIKUR POKHARI,7137,3191,3946,60,36,24,45,21,24,32,15,17,3,0,3,12,6,6,17,13,4,3,1,2,9,5,4
DHITAL,2712,1220,1492,27,15,12,7,3,4,15,4,11,1,1,0,7,2,5,5,2,3,2,1,1,5,3,2
GHACHOK,2561,1223,1338,28,11,17,12,10,2,31,12,19,3,0,3,29,17,12,5,3,2,5,2,3,33,9,24
GHANDRUK,4068,1951,2117,37,23,14,18,8,10,72,38,34,4,2,2,38,19,19,10,5,5,3,1,2,15,7,8
HANSAPUR,3562,1540,2022,33,18,15,12,7,5,7,1,6,0,0,0,9,8,1,4,1,3,3,2,1,5,4,1
HEMJA,12065,5523,6542,52,31,21,22,13,9,40,22,18,0,0,0,40,19,21,12,7,5,7,5,2,24,13,11
KAHUN,2338,1096,1242,12,9,3,6,1,5,9,6,3,0,0,0,10,5,5,1,1,0,1,1,0,1,0,1
KALIKA,3552,1566,1986,98,56,42,57,27,30,67,38,29,1,1,0,29,21,8,23,13,10,4,2,2,49,21,28
KASKIKOT,5726,2505,3221,72,39,33,21,10,11,23,11,12,2,2,0,26,11,15,9,5,4,3,2,1,10,6,4
KRITINACHNE CHAUR,4906,2052,2854,65,28,37,21,12,9,3,2,1,1,1,0,29,15,14,16,9,7,5,3,2,17,11,6
LAHACHOK,2991,1278,1713,41,23,18,18,7,11,25,17,8,2,0,2,16,11,5,7,3,4,17,11,6,12,6,6
LAMACHAUR,6884,3106,3778,31,20,11,22,9,13,33,13,20,4,1,3,23,13,10,17,9,8,7,5,2,6,3,3
LEKHNATH MUNICIPALITY,57877,26353,31524,367,217,150,126,57,69,128,69,59,24,8,16,106,54,52,95,53,42,32,16,16,61,38,23
LUMLE,4147,1852,2295,33,19,14,28,13,15,28,15,13,2,1,1,12,8,4,6,1,5,1,1,0,1,0,1
LWANGGHALEL,4028,1842,2186,68,43,25,23,12,11,21,8,13,2,1,1,26,15,11,16,11,5,14,6,8,13,5,8
MACHHAPUCHCHHRE,1673,763,910,13,9,4,7,4,3,9,6,3,1,1,0,10,4,6,2,1,1,2,2,0,12,4,8
MAJHTHANA,2955,1235,1720,10,7,3,3,2,1,7,3,4,2,1,1,4,1,3,9,4,5,1,0,1,2,1,1
MAUJA,1354,606,748,17,11,6,9,5,4,3,2,1,1,1,0,11,6,5,3,1,2,1,1,0,0,0,0
MIJUREDADA,3705,1704,2001,22,10,12,3,0,3,11,6,5,0,0,0,19,13,6,10,5,5,2,0,2,15,5,10
NAMARJUNG,1036,491,545,14,10,4,18,4,14,17,7,10,1,0,1,7,3,4,2,2,0,4,1,3,5,2,3
NIRMAL POKHARI,3958,1715,2243,29,18,11,8,3,5,7,6,1,2,1,1,9,3,6,5,3,2,1,0,1,8,4,4
PARCHE,2320,1042,1278,25,12,13,25,12,13,25,11,14,1,1,0,6,4,2,4,1,3,4,3,1,8,5,3
POKHARA SUB-METROPOLITAN CITY,252244,124465,127779,1248,731,517,533,268,265,434,226,208,58,30,28,357,195,162,219,126,93,105,64,41,267,133,134
PUMDIBHUMDI,7283,3308,3975,34,15,19,18,6,12,17,8,9,0,0,0,19,13,6,10,4,6,4,1,3,6,3,3
PURANCHAUR,3539,1605,1934,18,9,9,8,6,2,5,4,1,3,3,0,5,3,2,5,3,2,5,2,3,9,6,3
RIBHAN,1256,556,700,11,11,0,22,13,9,24,9,15,5,2,3,13,7,6,1,0,1,0,0,0,0,0,0
RUPAKOT,2842,1216,1626,45,25,20,24,14,10,23,8,15,0,0,0,6,5,1,6,1,5,2,2,0,10,6,4
SAIMARANG,1120,494,626,16,9,7,10,3,7,2,1,1,0,0,0,10,4,6,2,1,1,1,0,1,10,5,5
SALYAN,3456,1513,1943,35,24,11,11,6,5,7,5,2,1,1,0,14,6,8,8,8,0,2,1,1,7,2,5
SARANGKOT,8225,3837,4388,61,32,29,26,12,14,13,5,8,4,1,3,12,3,9,10,7,3,2,1,1,1,1,0
SARDIKHOLA,3314,1538,1776,24,16,8,11,5,6,50,31,19,3,2,1,22,14,8,2,1,1,0,0,0,16,7,9
SIDDHA,2900,1210,1690,41,23,18,14,8,6,5,4,1,0,0,0,9,4,5,6,2,4,0,0,0,7,2,5
SILDUJURE,2447,1123,1324,4,2,2,5,3,2,13,9,4,0,0,0,8,3,5,6,3,3,6,5,1,5,5,0
THUMAKODADA,2474,1083,1391,85,50,35,71,27,44,57,26,31,6,1,5,16,11,5,13,8,5,3,2,1,40,21,19
THUMKI,3196,1423,1773,42,26,16,27,16,11,25,10,15,2,0,2,17,12,5,9,7,2,2,1,1,8,5,3
VALAM,2599,1168,1431,4,3,1,3,0,3,3,1,2,0,0,0,9,5,4,4,3,1,1,1,0,0,0,0
