VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
BHIJER,436,212,224,3,2,1,1,1,0,0,0,0,1,0,1,2,1,1,1,0,1,0,0,0,2,2,0
CHHARKA,739,362,377,2,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
DHO,918,415,503,1,1,0,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DUNAI,2518,1291,1227,26,13,13,11,6,5,12,3,9,3,3,0,16,9,7,1,0,1,2,0,2,3,2,1
JUFAL,2182,1056,1126,36,20,16,20,8,12,21,15,6,0,0,0,7,1,6,0,0,0,9,6,3,4,2,2
KAIGAUN,806,379,427,27,16,11,13,11,2,12,10,2,1,1,0,6,2,4,3,0,3,1,1,0,10,5,5
KALIKA,1201,614,587,44,26,18,25,13,12,22,15,7,2,0,2,22,15,7,4,1,3,1,0,1,0,0,0
LAWAN,1565,719,846,12,8,4,0,0,0,4,2,2,4,0,4,13,5,8,1,0,1,0,0,0,1,1,0
LHNA,1114,558,556,34,22,12,15,7,8,7,4,3,0,0,0,5,3,2,1,1,0,0,0,0,23,8,15
LIKHU,2119,1049,1070,6,4,2,13,5,8,36,14,22,1,1,0,7,3,4,1,1,0,1,1,0,22,9,13
MAJHFAL,2486,1236,1250,14,8,6,15,5,10,30,15,15,2,1,1,13,4,9,0,0,0,2,1,1,14,4,10
MUKOT,679,311,368,10,5,5,1,0,1,5,1,4,1,1,0,5,2,3,1,0,1,0,0,0,3,1,2
NARKU,1467,752,715,22,16,6,3,1,2,18,9,9,5,3,2,2,1,1,0,0,0,1,1,0,5,3,2
PAHADA,2075,1004,1071,29,15,14,17,10,7,18,8,10,0,0,0,15,6,9,0,0,0,1,0,1,1,1,0
PHOKSUNDO,519,258,261,14,6,8,4,3,1,9,5,4,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2
RAHA,886,471,415,11,5,6,9,2,7,7,4,3,7,3,4,3,2,1,0,0,0,0,0,0,0,0,0
RIMI,1288,616,672,39,25,14,16,7,9,22,12,10,2,0,2,8,6,2,1,0,1,0,0,0,18,10,8
SAHARTARA,1921,900,1021,21,9,12,9,3,6,17,7,10,2,1,1,2,0,2,1,0,1,0,0,0,3,2,1
SALDANG,2026,980,1046,24,15,9,31,13,18,12,7,5,0,0,0,2,2,0,3,1,2,0,0,0,5,2,3
SARMI,2158,1060,1098,58,34,24,18,13,5,24,9,15,1,0,1,5,4,1,4,0,4,0,0,0,17,6,11
SUNHOO,1702,830,872,51,24,27,28,13,15,24,11,13,2,2,0,31,18,13,2,0,2,0,0,0,6,2,4
TINJE,1181,546,635,5,2,3,5,1,4,3,1,2,2,0,2,2,0,2,3,2,1,0,0,0,2,0,2
TRIPURAKOT,2541,1244,1297,58,33,25,32,12,20,42,29,13,2,1,1,9,4,5,5,4,1,1,0,1,7,5,2
INSTITUTIONAL,571,556,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
