VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AMARPATTI,3662,1833,1829,13,9,4,48,23,25,4,1,3,1,1,0,5,3,2,0,0,0,2,2,0,3,2,1
AMLEKHGANJ,6598,3361,3237,42,26,16,25,10,15,16,7,9,0,0,0,13,4,9,3,2,1,12,3,9,0,0,0
AMRITGANG,8712,4367,4345,92,58,34,189,107,82,46,24,22,15,7,8,33,25,8,27,12,15,10,5,5,9,4,5
AMAB,5103,2476,2627,51,28,23,56,39,17,20,10,10,2,1,1,12,6,6,4,4,0,1,0,1,9,2,7
BABUAIN,3423,1762,1661,16,9,7,6,1,5,1,0,1,1,0,1,2,1,1,2,0,2,4,2,2,4,3,1
BACHHANPURWA,4769,2233,2536,29,20,9,20,7,13,13,7,6,1,1,0,16,10,6,10,6,4,1,0,1,1,0,1
BADAKI FULBARIYA,6951,3644,3307,46,29,17,33,20,13,33,15,18,0,0,0,17,14,3,8,8,0,11,7,4,8,2,6
BAGAHI,3473,1801,1672,9,6,3,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2
BAHUARI,4958,2572,2386,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0
BALIRAMPUR,6993,3619,3374,29,12,17,75,32,43,4,3,1,1,1,0,11,7,4,8,6,2,1,1,0,4,4,0
BAGHAWAN,4637,2294,2343,14,8,6,5,1,4,3,3,0,2,0,2,6,4,2,4,2,2,1,0,1,6,3,3
BANJARIYA,5969,2998,2971,5,4,1,13,9,4,1,0,1,0,0,0,4,4,0,5,3,2,2,2,0,0,0,0
BARAINIYA,5094,2662,2432,14,8,6,16,10,6,4,2,2,0,0,0,10,8,2,6,3,3,1,1,0,0,0,0
BARIYARPUR,11530,5755,5775,24,16,8,28,16,12,12,6,6,0,0,0,11,6,5,11,7,4,1,1,0,20,14,6
BASATPUR,6774,3470,3304,32,17,15,4,2,2,3,2,1,1,1,0,7,7,0,5,1,4,1,0,1,5,2,3
BATARA,3753,1923,1830,3,1,2,4,3,1,3,2,1,0,0,0,6,4,2,4,3,1,1,0,1,2,1,1
BELDARI,4951,2569,2382,14,9,5,12,9,3,6,3,3,1,1,0,5,3,2,4,3,1,1,0,1,3,3,0
