VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
BADKI,4551,2234,2317,71,37,34,31,16,15,55,28,27,4,2,2,13,9,4,6,2,4,2,2,0,7,2,5
BIRAT,3411,1685,1726,30,19,11,27,14,13,40,26,14,4,2,2,19,13,6,5,2,3,1,1,0,4,2,2
BUMRAMADICHAUR,1145,591,554,11,4,7,6,5,1,3,2,1,0,0,0,9,2,7,1,0,1,0,0,0,2,2,0
CHANDAN NATH,8251,4057,4194,66,34,32,36,18,18,78,49,29,2,1,1,22,15,7,12,6,6,5,3,2,19,9,10
CHHUMCHAUR,2517,1258,1259,42,26,16,12,9,3,33,13,20,5,4,1,4,3,1,2,1,1,0,0,0,0,0,0
DEPALGAUN,2327,1127,1200,27,17,10,8,3,5,20,11,9,1,1,0,4,2,2,2,1,1,0,0,0,9,5,4
DHAPA,3619,1799,1820,29,19,10,28,16,12,29,16,13,5,4,1,12,9,3,5,0,5,2,2,0,17,12,5
DILLICHAUR,4618,2283,2335,31,20,11,11,6,5,27,18,9,1,1,0,12,5,7,6,3,3,1,0,1,4,2,2
GARJYANGKOT,4065,1998,2067,24,12,12,10,5,5,13,10,3,1,0,1,18,8,10,4,2,2,7,4,3,4,0,4
GHODE MAHADEV,2371,1216,1155,20,13,7,9,5,4,16,7,9,0,0,0,3,2,1,2,1,1,0,0,0,3,3,0
GUTHICHAUR,3231,1600,1631,37,21,16,18,14,4,16,11,5,5,3,2,11,9,2,2,0,2,0,0,0,6,3,3
HANKU,2166,1067,1099,11,7,4,11,5,6,10,6,4,0,0,0,22,14,8,2,1,1,1,1,0,3,2,1
KALIKAKHETU,2780,1375,1405,11,7,4,10,7,3,5,3,2,1,1,0,2,1,1,4,2,2,1,1,0,1,0,1
KANAKASUNDARI,2806,1381,1425,55,32,23,51,25,26,47,27,20,0,0,0,18,11,7,1,1,0,2,2,0,8,1,7
KARTIK SWAMI,2124,1033,1091,13,9,4,13,7,6,15,9,6,2,1,1,9,8,1,4,3,1,0,0,0,6,2,4
KUDARI,4834,2409,2425,53,33,20,47,22,25,24,16,8,1,0,1,40,25,15,6,3,3,1,0,1,5,3,2
LAMRA,2791,1401,1390,19,7,12,10,6,4,12,7,5,1,1,0,12,7,5,2,0,2,6,4,2,2,2,0
RARALIHI,2652,1320,1332,9,6,3,8,3,5,5,4,1,1,0,1,5,2,3,1,0,1,0,0,0,0,0,0
MAHABAIPATHARKHOLA,2902,1441,1461,35,23,12,22,9,13,16,6,10,0,0,0,8,7,1,2,0,2,3,2,1,10,6,4
MAHAT,3561,1747,1814,16,13,3,13,6,7,19,13,6,1,1,0,10,4,6,3,0,3,1,1,0,1,1,0
MALIKABOTA,1652,830,822,9,7,2,9,4,5,14,8,6,0,0,0,3,3,0,0,0,0,0,0,0,4,4,0
MALIKATHANTA,3343,1696,1647,72,47,25,14,5,9,43,15,28,0,0,0,11,7,4,1,0,1,2,1,1,5,2,3
NARAKOT,3445,1706,1739,27,17,10,16,6,10,8,7,1,1,1,0,11,5,6,7,4,3,2,2,0,1,1,0
PANDAWAGUFA,3740,1840,1900,16,7,9,15,9,6,22,13,9,2,2,0,18,11,7,4,2,2,0,0,0,2,0,2
PATARASI,3735,1857,1878,18,12,6,6,5,1,13,7,6,2,2,0,15,10,5,1,0,1,1,0,1,0,0,0
PATMARA,3272,1638,1634,42,24,18,23,13,10,89,52,37,5,3,2,9,3,6,8,7,1,3,0,3,3,3,0
SANIGAUN,4568,2337,2231,56,28,28,32,14,18,52,25,27,0,0,0,13,10,3,4,3,1,0,0,0,4,3,1
TALIUM,4569,2220,2349,58,31,27,39,26,13,41,22,19,2,1,1,20,9,11,6,4,2,2,2,0,8,4,4
TAMTI,4318,2197,2121,78,51,27,15,8,7,42,29,13,1,1,0,11,4,7,6,5,1,1,0,1,6,3,3
TATOPANI,4923,2429,2494,52,30,22,28,12,16,55,32,23,3,0,3,11,4,7,1,0,1,0,0,0,6,4,2
INSTITUTIONAL,1386,1276,110,5,5,0,15,11,4,5,2,3,0,0,0,0,0,0,1,1,0,0,0,0,14,7,7
