VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AJAYAMERU,319,346,109,12
ALITAL,566,1244,562,7
AMARGADHI MUNICIPALITY,1570,2590,596,22
ASHIGRAM,299,295,54,2
BAGARKOT,316,413,119,11
BELAPUR,1134,189,117,11
BHADRAPUR,90,260,88,4
BHAGESWOR,315,266,91,10
CHIPUR,165,310,78,2
DEWAL DIBYAPUR,426,224,368,5
GANESHPUR,301,250,164,0
GANKHET,466,369,65,1
JOGBUDA,2303,837,563,16
KAILAPALAMANDAU,144,478,273,1
KOTELI,496,334,185,1
MANILEK,617,235,117,1
MASHTAMANDAU,73,591,144,1
NAWADURGA,354,240,98,3
RUPAL,363,400,154,4
SAMEJEE,14,465,22,4
SIRSHA,895,857,502,17
TOTAL,11226,11193,4469,135
