VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ANEKOT,1429,1539,1069,1081,291,349,69,109
BALDTHALI,478,518,379,370,85,123,14,25
BALTING,569,632,401,431,155,185,13,16
BALUWAPATI DEUPUR,1214,1341,978,1067,220,261,16,13
BANAKHU CHOR,1147,1178,772,672,329,443,46,63
BANEPA MUNICIPALITY,3656,3609,2817,2672,713,808,126,129
BEKHSIMLE GHARTIGAUN,228,258,169,182,59,76,0,0
BHIMKHORI,1176,1432,915,1077,246,336,15,19
BHUMLUTAR,304,361,226,243,62,88,16,30
BIRTADEURALI,418,515,286,325,79,118,53,72
BOLDE FEDICHE,396,502,329,407,65,92,2,3
BUDHAKHANI,886,1028,694,691,188,335,4,2
CHALAL GANESHSTHAN,745,907,551,588,169,300,25,19
CHANDENI MANDAN,581,697,471,514,101,171,9,12
CHOUBAS,400,470,286,328,94,131,20,11
CHYAMRANGBESI,347,356,255,265,88,90,4,1
CHYASING KHARKA,519,621,399,428,104,162,16,31
DANDAGAUN,733,829,431,410,161,218,141,201
DAPCHA CHATREBHANJH,426,543,346,418,66,98,14,27
DARAUNE POKHARI,465,538,385,413,72,120,8,5
DEWABHUMI BALUWA,1401,1586,917,974,382,464,102,148
DEVITAR,545,672,421,437,124,235,0,0
DHULIKHEL MUNICIPALITY,2297,2337,1634,1581,539,611,124,145
DHUNKHARKA,945,1076,730,808,204,255,11,13
DHUSENI SIWALAYA,330,392,270,294,54,92,6,6
DOLALGHAT,430,409,245,214,76,117,109,78
FALATE BHUMLU,166,219,133,165,31,49,2,5
FALEMETAR,1130,1111,755,660,344,370,31,81
FOKSINGTAR,525,612,424,460,99,148,2,4
GAIRI BISOUNA DEUPUR,867,1046,650,740,202,289,15,17
GHARTICHHAP,629,676,477,444,146,212,6,20
GOKULE,1230,1207,821,722,335,366,74,119
GOTHPANI,461,548,364,380,94,160,3,8
HOKSE BAZAR,849,880,658,622,182,239,9,19
JAISITHOK MANDAN,536,633,370,436,152,171,14,26
JYAMDI MANDAN,962,1049,755,764,194,273,13,12
KALATI BHUMIDANDA,669,792,491,535,172,248,6,9
KANPUR KALAPANI,846,934,614,651,203,228,29,55
KATIKE DEURALI,594,599,514,462,77,132,3,5
KATUNJE BESI,498,519,394,372,100,142,4,5
KAVRE NITYA CHANDESWOR,871,999,665,738,174,230,32,31
KHAHARE PANGU,431,516,339,355,92,161,0,0
KHANALTHOK,838,942,656,664,163,261,19,17
KHARELTHOK,397,490,286,335,81,126,30,29
KHARPACHOK,342,376,250,268,89,105,3,3
KOLATI BHUMLU,220,295,150,163,53,106,17,26
KOSHIDEKHA,275,365,221,259,52,103,2,3
KURUWAS CHAPAKHORI,580,618,438,511,131,93,11,14
KUSHADEVI,1259,1398,993,1020,255,356,11,22
MACHCHHEGAUN,1326,1595,1102,1319,196,232,28,44
MADAN KUNDARI,327,406,286,348,29,46,12,12
MAHADEVSTHAN MANDAN,1500,1588,1180,1155,302,400,18,33
MAHADEVTAR,500,537,346,355,138,154,16,28
MAHANKAL CHAUR,636,887,398,510,212,320,26,57
MAHENDRA JYOTI,570,613,466,468,98,143,6,2
MAJHI FEDA,537,588,400,420,86,104,51,64
MANGALTAR,721,855,593,679,126,167,2,9
MATHURAPATI FULBARI,848,951,601,678,236,259,11,14
METHINKOT,865,1101,586,706,227,340,52,55
MILCHE,661,679,468,445,190,224,3,10
NAGRE GAGARCHE,464,519,406,422,36,56,22,41
UGRACHANDI NALA,1143,1156,882,867,226,261,35,28
NASIKASTHAN SANGA,1030,1115,712,778,298,322,20,15
NAYAGAUN DEUPUR,827,1008,624,726,184,243,19,39
PANAUTI MUNICIPALITY,4237,4585,3266,3363,841,1048,130,174
PANCHKHAL,2107,2216,1569,1608,481,534,57,74
PATALEKHET,665,751,482,529,168,202,15,20
POKHARI CHAURI,538,707,474,550,63,154,1,3
POKHARI NARAYANSTHAN,546,604,464,526,80,77,2,1
PURANOGAUN DAPCHA,378,468,280,321,98,147,0,0
RAVI OPI,798,870,643,624,146,216,9,30
RYALE,749,929,622,686,105,197,22,46
SALDHARA,613,737,454,478,154,254,5,5
SALLE BHUMLU,276,382,214,293,46,46,16,43
SALMECHAKALA (TALDHUNGA),373,457,277,317,94,138,2,2
SANKHUPATI CHOUR,539,616,438,453,96,150,5,13
SANOWANGTHALI,297,301,247,227,50,73,0,1
SAPING,621,753,501,522,102,189,18,42
SARADA BATASE,388,431,322,326,62,100,4,5
SARAMTHALI,241,229,176,163,64,65,1,1
SARASYUNKHARK,1106,1243,788,874,236,240,82,129
SATHIGHAR BHAGAWATI,486,535,368,369,100,128,18,38
SIKHAR AMBOTE,743,841,543,561,194,274,6,6
SIMALCHOUR SYAMPATI,667,812,478,515,175,280,14,17
SIMTHALI,376,396,228,215,130,161,18,20
SIPALI CHILAUNE,644,695,482,502,149,182,13,11
SISAKHANI,382,451,278,314,103,135,1,2
THULO PARSEL,486,587,421,490,61,91,4,6
TUKUCHA NALA,794,952,623,680,151,238,20,34
UGRATARA JANAGAL,1082,1138,826,813,185,249,71,76
INSTITUTIONAL,2136,653,1681,626,434,22,21,5
