VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AGINCHOK,3450,1469,1981,26,16,10,29,13,16,31,13,18,2,1,1,21,14,7,11,6,5,0,0,0,10,7,3
BAIRENI,13103,6485,6618,98,46,52,42,22,20,29,19,10,6,3,3,41,24,17,10,5,5,19,13,6,21,13,8
BASERI,3469,1501,1968,52,27,25,41,18,23,46,28,18,5,1,4,18,13,5,5,3,2,2,2,0,22,16,6
BENIGHAT,9509,4734,4775,73,40,33,28,16,12,21,16,5,3,2,1,36,16,20,6,2,4,17,13,4,24,15,9
BHUMESTHAN,10594,5216,5378,93,58,35,25,9,16,13,7,6,1,1,0,26,17,9,14,4,10,7,2,5,13,9,4
BUDHATHUM,3630,1491,2139,35,22,13,21,7,14,24,11,13,0,0,0,17,8,9,5,4,1,0,0,0,0,0,0
CHAINPUR,6187,2663,3524,55,31,24,28,15,13,33,15,18,3,2,1,12,5,7,14,6,8,11,8,3,6,2,4
CHHATREDEURALI,7595,3619,3976,28,15,13,17,8,9,13,3,10,4,3,1,18,10,8,9,5,4,3,2,1,0,0,0
DARKHA,5174,2373,2801,39,23,16,15,8,7,10,8,2,0,0,0,18,11,7,7,3,4,5,5,0,1,0,1
DHOLA,3934,1723,2211,27,14,13,17,9,8,19,8,11,3,0,3,14,9,5,12,4,8,4,2,2,3,3,0
DHUSSA,6969,3428,3541,56,29,27,32,16,16,55,33,22,2,2,0,26,13,13,9,3,6,16,10,6,25,14,11
DHUWAKOT,4688,2120,2568,20,9,11,10,3,7,14,5,9,3,3,0,12,6,6,8,5,3,3,0,3,4,1,3
GAJURI,9789,4815,4974,107,64,43,29,15,14,34,23,11,2,0,2,43,31,12,8,3,5,18,13,5,5,4,1
GOGANPANI,5492,2655,2837,38,22,16,5,3,2,6,4,2,1,0,1,5,3,2,8,4,4,0,0,0,8,5,3
GUMDI,4782,2105,2677,10,5,5,7,6,1,4,4,0,1,1,0,8,3,5,7,5,2,1,1,0,13,5,8
JEEWANPUR,8569,4212,4357,69,39,30,50,25,25,29,16,13,3,2,1,26,12,14,15,9,6,9,2,7,19,12,7
JHARLANG,4075,1916,2159,17,7,10,14,7,7,16,7,9,3,3,0,8,5,3,11,6,5,10,7,3,4,4,0
JOGIMARA,7555,3756,3799,43,18,25,31,15,16,28,12,16,4,2,2,46,23,23,10,6,4,8,3,5,19,7,12
JYAMRUNG,6816,2931,3885,49,31,18,48,19,29,31,18,13,3,1,2,12,5,7,14,10,4,15,7,8,10,2,8
KALLERI,8661,3967,4694,88,50,38,22,9,13,18,7,11,0,0,0,30,8,22,6,3,3,18,12,6,9,3,6
