VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AJAYAMERU,3650,1651,1999,55,38,17,48,22,26,58,28,30,2,1,1,22,16,6,8,5,3,0,0,0,9,4,5
ALITAL,13033,6211,6822,224,123,101,50,25,25,51,31,20,4,1,3,49,26,23,25,14,11,13,8,5,12,7,5
AMARGADHI MUNICIPALITY,20706,9699,11007,227,119,108,97,52,45,49,26,23,11,6,5,63,47,16,44,23,21,21,16,5,27,15,12
ASHIGRAM,3207,1481,1726,76,36,40,22,14,8,21,10,11,3,1,2,37,18,19,8,5,3,8,5,3,6,3,3
BAGARKOT,4546,2233,2313,29,13,16,16,8,8,15,8,7,6,4,2,8,5,3,9,7,2,0,0,0,3,1,2
BELAPUR,7081,3127,3954,157,74,83,43,21,22,44,22,22,2,1,1,21,14,7,16,8,8,2,2,0,8,5,3
BHADRAPUR,2069,902,1167,28,16,12,19,12,7,20,13,7,0,0,0,9,4,5,10,9,1,2,1,1,8,5,3
BHAGESWOR,3479,1619,1860,62,31,31,85,32,53,36,18,18,6,2,4,22,15,7,11,7,4,7,6,1,9,3,6
CHIPUR,2594,1182,1412,33,19,14,20,9,11,46,23,23,1,0,1,12,10,2,2,2,0,11,4,7,5,2,3
DEWAL DIBYAPUR,5577,2636,2941,130,60,70,65,26,39,45,28,17,11,8,3,12,9,3,18,9,9,4,2,2,17,8,9
GANESHPUR,3438,1416,2022,72,31,41,30,11,19,22,7,15,0,0,0,10,8,2,7,5,2,4,2,2,9,5,4
GANKHET,4917,2414,2503,80,44,36,36,17,19,15,11,4,1,1,0,8,5,3,8,5,3,1,1,0,4,2,2
JOGBUDA,20992,9993,10999,273,155,118,132,59,73,88,56,32,11,3,8,63,45,18,28,19,9,29,21,8,16,7,9
KAILAPALAMANDAU,4226,1897,2329,85,39,46,61,24,37,38,17,21,3,1,2,17,11,6,11,9,2,19,12,7,20,11,9
KOTELI,4334,1841,2493,92,48,44,59,19,40,31,13,18,9,4,5,13,9,4,6,5,1,6,3,3,50,14,36
MANILEK,4499,1910,2589,48,24,24,23,11,12,23,11,12,2,0,2,9,5,4,11,8,3,2,1,1,1,0,1
MASHTAMANDAU,3486,1394,2092,65,32,33,19,6,13,27,14,13,2,0,2,16,11,5,11,8,3,3,0,3,4,1,3
NAWADURGA,3280,1361,1919,34,19,15,12,7,5,11,4,7,3,1,2,9,4,5,8,5,3,4,3,1,4,3,1
RUPAL,5618,2624,2994,52,33,19,33,19,14,36,19,17,4,2,2,17,10,7,9,2,7,3,3,0,8,4,4
SAMEJEE,2328,1061,1267,50,25,25,18,8,10,26,17,9,1,1,0,8,7,1,8,6,2,6,5,1,1,0,1
SIRSHA,12806,6132,6674,211,116,95,97,45,52,75,49,26,53,30,23,46,29,17,28,14,14,19,11,8,16,10,6
INSTITUTIONAL,1078,1030,48,2,2,0,9,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
