VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
ANAKAR,5597,2745,2852,38,27,11,12,8,4,3,2,1,1,1,0,6,5,1,7,3,4,2,1,1,5,1,4
AURAHI,8443,4143,4300,53,28,25,13,9,4,19,12,7,2,2,0,20,14,6,12,8,4,2,2,0,11,7,4
BAGADA,6252,3160,3092,57,25,32,27,10,17,20,11,9,6,3,3,28,14,14,18,10,8,3,1,2,8,5,3
BADIYA BANCHAURI,6689,3339,3350,26,16,10,16,11,5,6,2,4,1,0,1,17,13,4,6,5,1,1,1,0,5,1,4
BAIRGIYA LAXMINIYA,3602,1662,1940,11,7,4,9,7,2,5,1,4,3,0,3,3,2,1,6,4,2,1,1,0,0,0,0
BALAWA,8049,3897,4152,15,10,5,9,6,3,4,2,2,2,0,2,7,4,3,5,4,1,2,2,0,0,0,0
BANAULI DONAULI,4495,2183,2312,26,17,9,19,12,7,7,4,3,3,2,1,8,6,2,4,3,1,4,1,3,11,4,7
BANOUTA,6337,3064,3273,33,21,12,11,5,6,5,3,2,0,0,0,13,8,5,11,8,3,1,1,0,2,2,0
BARDIBAS,12353,6149,6204,62,41,21,42,17,25,34,16,18,2,2,0,57,29,28,12,7,5,8,3,5,14,8,6
BASABITTI,6347,3122,3225,20,12,8,6,3,3,8,2,6,1,1,0,16,10,6,10,6,4,2,1,1,0,0,0
