VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AINSELUKHARKA,474,89,77,1,1,0,4,6
ARKHAULE,548,100,11,1,0,0,0,2
BADAHARE,305,3,1,0,0,0,0,9
BADAKA DIYALE,477,16,2,0,1,0,0,12
BAHUNIDANDA,484,18,8,5,1,2,3,3
BAKACHOL,523,49,27,0,10,0,13,1
BAKSILA,615,108,2,0,0,0,7,5
BAMRANG,327,275,21,1,0,0,24,0
BARAHAPOKHARI,632,41,36,5,0,1,0,1
BASPANI,321,31,0,0,0,0,2,1
BATASE,606,38,134,2,0,5,4,8
BIJAYA KHARKA,351,100,64,0,0,3,0,2
BUIPA,694,247,12,0,0,0,19,12
CHHITAPOKHARI,319,53,9,0,0,0,0,0
CHHORAMBU,282,31,156,1,0,2,1,6
CHIPRING,189,37,12,0,1,0,0,0
CHISAPANI,761,120,18,0,0,3,2,7
CHYANDADA,437,115,19,0,1,0,13,4
CHYASMITAR,530,13,0,0,0,0,1,4
DAMARKHUSHIVALAYA,505,40,6,0,0,0,0,5
DANDAGAUN,323,81,124,1,0,0,4,4
DEVISTHAN,348,67,0,1,0,0,0,0
DHITUNG,428,36,33,4,0,34,0,0
DIKTEL,381,1437,39,4,22,1,38,45
DIKUWA,434,6,3,3,0,0,0,2
DIPLUNG,397,21,1,0,0,1,0,4
DORPACHIURIDADA,555,297,212,3,2,0,73,7
DUBEKOLDADA,324,15,0,0,0,0,1,5
DUMRE DHARAPANI,523,16,1,0,0,0,0,3
DURCHHIM,636,27,10,6,0,35,0,0
FAKTANG,352,65,1,3,0,2,3,2
HAUNCHUR,431,54,1,0,2,0,0,4
INDRANIPOKHARI,531,50,21,0,0,0,0,1
JALAPA,410,143,3,0,1,0,8,8
JYAMIRE,267,8,0,0,0,0,1,4
KAHULE,332,25,0,0,0,0,0,5
KHALLE,133,179,291,0,0,2,42,1
KHARMI,576,141,6,0,0,0,24,4
KHARPA,412,8,0,0,0,0,0,10
KHARTANCHHA,353,60,4,0,0,0,19,3
KHIDIMA,326,49,27,0,7,0,0,2
KHOTANGBAZAR,385,59,7,0,0,0,0,1
KUVINDE,381,31,0,0,1,0,6,1
LAFYANG,192,253,99,0,0,0,51,0
LAMIDADA,507,54,1,0,0,0,1,0
LICHKIRAMCHE,484,40,166,2,0,1,5,5
LINKUWAPOKHARI,404,29,21,0,0,0,0,7
MAGPA,402,28,4,0,0,0,0,2
MAHADEVASTHAN,449,112,4,0,0,8,8,2
MANGALTAR,423,9,1,0,0,1,0,6
MATTIM BIRTA,462,83,291,0,0,0,17,4
MAUWABOTE,266,7,0,1,0,0,0,2
NERPA,396,188,22,0,0,0,35,5
NIRMALIDADA,247,105,35,0,3,0,1,2
NUNTHALA,202,148,0,0,1,0,28,1
PATHEKA,623,124,26,0,5,0,18,0
PAUWASERA,360,30,0,1,1,1,0,5
PHEDI,365,140,4,2,59,0,104,6
R.MAHESWORI,443,29,11,0,0,0,1,0
RAJAPANI,420,14,253,0,0,16,2,2
RAKHA BANGDEL,475,54,3,0,8,0,8,0
RAKHA DIPSUNG,152,18,0,0,4,0,1,4
RATANCHHA,367,145,31,0,0,0,4,4
JALESWORI,425,21,19,0,1,0,0,2
SA.CHHITAPOKHARI,426,104,29,0,0,2,0,3
SALLE,333,24,2,0,0,0,0,0
SAPTESWOR,414,30,0,0,0,0,0,3
SAUNECHAUR,415,26,0,6,1,0,0,10
SAWAKATAHARE,530,32,10,0,0,0,0,8
SIMPANI,448,46,170,0,0,1,0,1
SUNGDEL,451,18,1,0,23,0,16,1
SUNTALE,359,56,2,5,1,0,1,2
TEMMA,370,106,271,1,0,0,19,10
WOPLUKHA,438,44,5,0,0,0,0,4
WOPUNG,463,34,0,0,0,0,1,8
YAMKHA,194,53,346,1,1,0,7,3
TOTAL,31523,6603,3226,60,158,121,640,316
