VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AMCHOK,4594,2108,2486,54,33,21,25,15,10,16,6,10,2,1,1,14,8,6,9,6,3,2,0,2,14,7,7
BAJHO,9701,4743,4958,96,61,35,76,45,31,43,32,11,8,6,2,39,23,16,14,8,6,4,1,3,31,13,18
BARBOTE,6307,3169,3138,41,19,22,23,13,10,8,2,6,3,3,0,12,6,6,17,8,9,4,1,3,9,6,3
CHAMAITA,5754,2755,2999,67,39,28,13,6,7,23,11,12,1,1,0,9,5,4,10,4,6,5,3,2,9,6,3
CHISAPANI,5285,2552,2733,42,24,18,27,15,12,27,14,13,2,0,2,14,7,7,7,4,3,3,1,2,20,8,12
CHULACHULI,16906,7797,9109,150,84,66,42,33,9,46,24,22,7,5,2,74,33,41,33,16,17,8,1,7,58,31,27
DANABARI,13995,6701,7294,120,65,55,33,17,16,48,31,17,9,5,4,32,20,12,25,12,13,10,4,6,30,19,11
DHUSENI,4062,1921,2141,58,31,27,41,21,20,45,24,21,0,0,0,14,5,9,20,9,11,14,9,5,18,7,11
EBHANG,4991,2358,2633,52,32,20,10,6,4,14,9,5,0,0,0,14,10,4,7,3,4,1,0,1,9,4,5
EKTAPPA,4714,2198,2516,56,30,26,16,8,8,19,14,5,2,1,1,16,9,7,16,9,7,1,1,0,11,8,3
ERAUTAR,4166,2028,2138,47,26,21,33,21,12,33,16,17,0,0,0,35,16,19,9,3,6,0,0,0,11,8,3
GAJURMUKHI,3264,1616,1648,53,31,22,11,7,4,23,16,7,0,0,0,18,8,10,9,6,3,1,0,1,14,11,3
GODAK,4815,2351,2464,76,49,27,23,13,10,18,14,4,2,1,1,13,5,8,10,8,2,7,2,5,14,8,6
GORKHE,4757,2351,2406,22,13,9,17,7,10,10,6,4,0,0,0,16,7,9,9,2,7,3,1,2,7,4,3
ILAM MUNICIPALITY,18364,8802,9562,98,56,42,32,19,13,36,17,19,8,2,6,44,27,17,23,10,13,1,0,1,27,13,14
JAMUNA,3130,1488,1642,36,19,17,8,3,5,5,0,5,0,0,0,6,5,1,4,3,1,3,2,1,8,3,5
