VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ANBUKHAIRENI,3106,3458,2387,2390,606,932,113,136
ARUNODAYA,913,1196,684,758,210,404,19,34
BAIDI,963,1142,810,777,140,334,13,31
BANDIPUR,2391,2684,1746,1771,520,764,125,149
BARBHANJYANG,904,1143,659,721,187,321,58,101
BASANTAPUR,610,757,471,462,97,230,42,65
BHANU,2430,2889,1956,1965,446,903,28,21
BHANUMATI,804,1062,655,719,146,322,3,21
BHIMAD,1710,1880,1421,1341,244,464,45,75
BHIRKOT,970,1283,803,876,154,378,13,29
BYAS MUNICIPALITY,8146,8954,6637,6346,1297,2366,212,242
CHHANG,1075,1279,844,856,204,383,27,40
CHHIMKESHWORI,344,468,226,247,104,185,14,36
CHHIPCHHIPE,460,574,368,411,84,151,8,12
CHOK CHISAPANI,615,786,512,543,84,217,19,26
DEURALI,442,635,315,357,121,258,6,20
DEVGHAT,1474,1623,1064,952,369,599,41,72
DHARAMPANI,540,723,425,500,112,209,3,14
DHORFIRDI,2195,2580,1826,1775,350,769,19,36
DULEGAUNDA,2914,3104,2306,2257,588,833,20,14
FIRFIRE,606,730,456,454,123,239,27,37
GAJARKOT,986,1268,824,876,142,353,20,39
GHANSIKUWA,1449,1781,1206,1294,219,458,24,29
JAMUNE BHANJYANG,1863,2119,1417,1429,408,629,38,61
KAHU SHIVAPUR,1440,1876,1112,1167,317,683,11,26
KESHAVTAR,887,1052,707,686,165,342,15,24
KHAIRENITAR,1979,2263,1643,1585,321,649,15,29
KIHUN,665,859,573,591,78,249,14,19
KOTA,779,896,586,583,175,290,18,23
KOTDARBAR,1051,1468,842,956,178,446,31,66
KYAMIN,939,1199,790,834,109,285,40,80
MAJHAKOT,1305,1671,961,1035,295,547,49,89
MANPANG,1245,1514,1040,1061,199,449,6,4
POKHARI BHANJYANG,832,908,644,557,181,344,7,7
PURKOT,1239,1546,981,1052,182,393,76,101
RAIPUR,611,836,476,564,111,230,24,42
RAMJAKOT,931,1185,703,786,215,391,13,8
RANIPOKHARI (RESING),724,977,621,693,101,282,2,2
RISTI,323,394,267,282,52,105,4,7
RUPAKOT,665,841,527,547,99,214,39,80
SATISWARA,715,872,575,558,126,300,14,14
SHAMUNG BHAGAWATIPUR,1448,1979,1128,1323,298,615,22,41
SHYMGHA,851,1081,683,720,125,300,43,61
SUNDHARA (GHIRING),1400,1855,1126,1232,267,603,7,20
TANAHUNSUR,516,656,432,436,81,211,3,9
THAPREK,506,592,422,409,82,178,2,5
MIRLUNG,881,1057,725,743,137,299,19,15
INSTITUTIONAL,865,90,573,64,282,18,10,8
