VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
BARAI,1153,564,589,16,9,7,11,4,7,32,18,14,0,0,0,5,3,2,0,0,0,3,0,3,15,10,5
BARGAUN,711,383,328,11,4,7,4,2,2,5,4,1,0,0,0,1,0,1,0,0,0,0,0,0,6,3,3
CHHIPRA,995,461,534,8,2,6,6,2,4,19,10,9,0,0,0,5,4,1,3,1,2,3,1,2,6,4,2
DANDAFAYA,2050,1027,1023,18,7,11,1,0,1,14,13,1,0,0,0,6,3,3,1,0,1,0,0,0,8,4,4
DARMA,2020,1029,991,37,21,16,15,8,7,25,13,12,0,0,0,13,8,5,1,0,1,2,1,1,3,3,0
GOTHI,1070,513,557,20,13,7,1,0,1,6,4,2,2,0,2,9,6,3,1,0,1,0,0,0,2,1,1
HEPKA,1030,517,513,10,3,7,4,2,2,3,0,3,0,0,0,5,1,4,2,0,2,0,0,0,3,0,3
JAIR,2088,1002,1086,35,18,17,5,1,4,17,10,7,1,0,1,2,0,2,0,0,0,0,0,0,2,1,1
KALIKA,2978,1473,1505,81,44,37,16,7,9,58,31,27,1,1,0,14,11,3,1,1,0,3,3,0,6,3,3
KHAGALGAUN,967,500,467,17,5,12,4,0,4,26,11,15,0,0,0,4,2,2,1,0,1,0,0,0,4,3,1
KHARPUNATH,1332,666,666,61,36,25,11,2,9,42,22,20,0,0,0,9,5,4,2,1,1,2,2,0,30,16,14
LALI,1472,705,767,27,14,13,7,4,3,46,35,11,1,1,0,9,6,3,0,0,0,6,2,4,7,4,3
LIMI,887,401,486,7,3,4,4,3,1,1,0,1,1,0,1,3,2,1,0,0,0,0,0,0,1,0,1
MADANA,1512,751,761,8,4,4,6,2,4,12,10,2,0,0,0,5,3,2,1,0,1,2,1,1,0,0,0
MAILA,4310,2121,2189,63,32,31,22,12,10,13,6,7,0,0,0,7,5,2,0,0,0,0,0,0,3,1,2
MELCHHAM,894,440,454,6,5,1,1,0,1,9,3,6,0,0,0,6,2,4,2,1,1,0,0,0,7,1,6
MIMI,1085,544,541,15,10,5,9,8,1,24,13,11,0,0,0,7,5,2,0,0,0,0,0,0,3,1,2
MUCHU,867,409,458,9,5,4,18,10,8,8,3,5,0,0,0,9,5,4,4,0,4,0,0,0,1,1,0
RAYA,1821,914,907,23,16,7,4,2,2,27,18,9,0,0,0,19,6,13,1,1,0,2,2,0,5,2,3
RODIKOT,2462,1277,1185,59,31,28,16,7,9,29,18,11,0,0,0,19,10,9,2,2,0,2,1,1,22,9,13
SARKEEDEU,1858,946,912,16,8,8,2,2,0,29,18,11,0,0,0,8,5,3,3,2,1,1,1,0,4,4,0
SAYA,1024,540,484,16,8,8,4,2,2,1,1,0,1,1,0,9,6,3,1,0,1,0,0,0,7,4,3
SHREE NAGAR,3860,1911,1949,60,34,26,7,3,4,14,8,6,1,1,0,9,8,1,2,1,1,1,1,0,4,2,2
SHREEMASTHA,1063,538,525,24,20,4,9,3,6,6,4,2,1,0,1,4,3,1,0,0,0,0,0,0,3,1,2
SIMIKOT,4190,2218,1972,61,34,27,30,13,17,33,15,18,2,1,1,5,1,4,8,2,6,0,0,0,12,5,7
SYADA,1632,807,825,143,75,68,43,21,22,78,55,23,4,3,1,36,17,19,7,2,5,37,15,22,56,31,25
THEHE,2211,1117,1094,54,40,14,15,8,7,33,19,14,1,1,0,12,9,3,6,3,3,0,0,0,12,6,6
INSTITUTIONAL,905,744,161,5,2,3,4,1,3,5,5,0,0,0,0,4,2,2,2,2,0,0,0,0,0,0,0
