VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AALAPOT,265,138,127,517,255,262,408,216,192,341,187,154,328,209,119,276,149,127,131,96,35,33,24,9,1,1,0,154,65,89,4,2,2
BAAD BHANJYANG,103,58,45,721,360,361,494,289,205,345,202,143,308,192,116,264,143,121,54,32,22,18,15,3,4,2,2,226,121,105,27,18,9
BAJRAYOGINI (SANKHU),97,59,38,929,510,419,582,313,269,403,212,191,374,206,168,253,151,102,81,47,34,11,7,4,1,1,0,209,110,99,16,9,7
BALAMBU,168,93,75,1440,736,704,1024,534,490,815,462,353,701,396,305,671,348,323,279,171,108,99,71,28,1,1,0,145,59,86,17,8,9
BALUWA,56,24,32,1169,634,535,726,402,324,529,293,236,495,316,179,397,231,166,136,82,54,60,46,14,0,0,0,75,41,34,26,14,12
BHADRABAS,169,87,82,300,171,129,291,142,149,232,132,100,326,205,121,272,154,118,123,80,43,35,27,8,0,0,0,111,43,68,0,0,0
BHIMDHUNGA,40,24,16,635,375,260,455,255,200,286,153,133,253,153,100,193,117,76,74,48,26,11,10,1,0,0,0,135,60,75,1,0,1
BUDANILKANTHA,285,162,123,3195,1695,1500,2044,1063,981,1373,722,651,1844,1003,841,1373,744,629,718,390,328,384,255,129,0,0,0,338,176,162,34,13,21
CHALNAKHEL,113,50,63,864,470,394,594,319,275,435,221,214,375,226,149,265,141,124,65,36,29,22,15,7,0,0,0,327,168,159,43,25,18
CHAPALI BHADRAKALI,651,329,322,2212,1146,1066,1507,805,702,947,498,449,1245,690,555,958,502,456,549,314,235,264,188,76,0,0,0,141,57,84,16,9,7
CHHAIMALE,152,80,72,988,507,481,487,258,229,243,130,113,231,139,92,150,78,72,39,22,17,13,12,1,0,0,0,253,138,115,10,2,8
DAHACHOK,84,44,40,813,432,381,472,270,202,340,201,139,447,267,180,276,158,118,149,90,59,25,14,11,0,0,0,283,137,146,9,5,4
CHUNIKHEL,72,44,28,879,489,390,602,350,252,416,245,171,395,216,179,291,176,115,96,58,38,7,4,3,1,0,1,183,103,80,5,1,4
DAANCHHI,539,267,272,1984,1078,906,1379,771,608,959,527,432,1137,641,496,1015,588,427,468,306,162,122,92,30,9,6,3,588,304,284,112,51,61
DAXINKALI,194,105,89,826,470,356,694,378,316,525,275,250,449,261,188,387,219,168,154,92,62,27,22,5,3,2,1,374,163,211,8,5,3
DHAPASI,807,461,346,5349,2744,2605,3743,2014,1729,2932,1537,1395,4498,2449,2049,4051,2128,1923,2648,1553,1095,1469,1058,411,17,9,8,596,243,353,73,34,39
DHARMASTHALI,189,120,69,1166,614,552,840,442,398,602,356,246,708,426,282,559,305,254,238,151,87,61,44,17,4,2,2,341,160,181,8,4,4
FUTUNG,109,63,46,1010,523,487,685,375,310,563,302,261,424,257,167,427,231,196,148,84,64,65,50,15,9,4,5,166,99,67,1,1,0
GAGALPHEDI,108,62,46,946,477,469,819,459,360,628,346,282,549,342,207,428,247,181,151,92,59,48,35,13,0,0,0,350,159,191,3,1,2
GOKARNESWOR,282,156,126,1361,729,632,929,508,421,764,429,335,821,472,349,575,334,241,228,145,83,74,48,26,9,3,6,140,68,72,40,19,21
GOLDHUNGA,454,244,210,3123,1670,1453,2190,1232,958,1622,935,687,1594,928,666,1754,1000,754,601,404,197,186,137,49,8,4,4,478,242,236,72,32,40
GONGGABU,1758,929,829,9731,5058,4673,6763,3569,3194,5246,2771,2475,7858,4341,3517,7132,3923,3209,3601,2215,1386,1453,1053,400,54,25,29,1037,450,587,96,47,49
GOTHATAR,981,519,462,4148,2084,2064,3126,1649,1477,2638,1420,1218,3543,2001,1542,3032,1653,1379,1460,912,548,527,401,126,17,11,6,884,400,484,53,23,30
ICHANG NARAYAN,681,364,317,4404,2271,2133,3006,1616,1390,2691,1393,1298,2619,1407,1212,3092,1621,1471,1510,885,625,649,467,182,22,7,15,944,382,562,59,30,29
