VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
ARCHALBOT,1558,676,882,26,15,11,4,2,2,11,6,5,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0
BAHUNDANDA,1975,944,1031,15,9,6,9,1,8,45,26,19,0,0,0,33,18,15,4,2,2,4,2,2,10,8,2
BANJHAKHET,2738,1255,1483,46,23,23,7,4,3,10,5,5,0,0,0,26,11,15,5,3,2,2,0,2,10,8,2
BAGLUNGPANI,2369,1004,1365,21,14,7,18,13,5,18,7,11,0,0,0,17,12,5,2,1,1,0,0,0,13,7,6
BANGRE,1600,700,900,26,14,12,5,1,4,11,7,4,0,0,0,8,5,3,3,2,1,1,1,0,5,2,3
BANSAR,2384,1127,1257,23,17,6,15,6,9,20,8,12,2,1,1,15,9,6,1,0,1,4,3,1,13,12,1
BESISHAHAR,15293,6905,8388,65,42,23,13,6,7,18,11,7,0,0,0,23,13,10,10,7,3,10,3,7,10,1,9
BHALAYAKHARKA,2112,931,1181,12,9,3,9,5,4,24,11,13,1,1,0,19,11,8,3,2,1,0,0,0,10,1,9
BHARTE,2157,918,1239,23,19,4,12,2,10,19,13,6,4,0,4,9,5,4,2,0,2,6,2,4,7,4,3
BHOJE,1958,904,1054,1,1,0,5,3,2,7,3,4,6,4,2,13,6,7,1,1,0,0,0,0,1,1,0
BHORLETAR,3949,1774,2175,40,20,20,24,11,13,19,9,10,1,1,0,13,7,6,6,5,1,0,0,0,7,5,2
BHOTE ODAR,7370,3299,4071,55,31,24,37,12,25,41,19,22,5,4,1,24,16,8,7,3,4,2,0,2,19,8,11
BHUJUNG,1440,626,814,23,12,11,22,11,11,14,8,6,0,0,0,6,2,4,0,0,0,0,0,0,1,1,0
BHULBHULE,2848,1280,1568,19,11,8,18,5,13,47,25,22,1,1,0,40,27,13,3,2,1,5,2,3,6,4,2
BICHAUR,2062,958,1104,3,0,3,3,2,1,6,4,2,0,0,0,6,1,5,3,0,3,3,3,0,1,0,1
CHAKRATIRTHA,4895,2102,2793,53,33,20,12,7,5,13,7,6,1,0,1,16,8,8,9,6,3,7,3,4,5,2,3
