VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ARESH,869,1092,617,540,220,519,32,33
BHABANG,850,989,602,622,244,362,4,5
MIRUL,453,606,347,368,91,218,15,20
BUDAGAUN,1497,1655,1161,1196,316,446,20,13
DHAWANG,1121,1225,766,656,330,540,25,29
DUBRING,1000,1256,777,819,215,431,8,6
DUBIDANDA,872,1152,652,730,189,346,31,76
ERIWANG,1168,1364,887,867,266,473,15,24
FAGAAM,635,779,427,337,205,435,3,7
GAAM,858,996,475,448,367,531,16,17
GAIRIGAUN,945,1124,751,767,185,349,9,8
GAJUL,1068,1339,849,908,215,427,4,4
GHARTI GAUN,1046,1201,731,769,261,368,54,64
GHODAGAUN,684,862,566,541,107,307,11,14
GUMCHAL,776,1011,525,499,180,338,71,174
HARJANG,556,616,310,208,226,388,20,20
JAILWANG,611,641,445,374,162,266,4,1
JAIMAKASALA,650,675,479,379,158,289,13,7
JANGKOT,569,687,404,441,146,210,19,36
JAULIPOKHARI,962,1326,710,789,234,516,18,21
JEDWANG,764,1052,608,679,154,350,2,23
JHENAM,1227,1513,900,1013,308,473,19,27
JINABANG,1146,1407,970,1051,126,297,50,59
JUNGAR,1164,1368,1016,1047,146,317,2,4
KARETI,546,630,393,396,142,208,11,26
KHUMEL,622,839,548,579,65,190,9,70
KHUNGRI,838,1120,678,749,151,352,9,19
KORCHABANG,628,814,490,540,133,257,5,17
KOTGAUN,850,1025,707,699,141,320,2,6
KURELI,600,747,453,488,145,254,2,5
LIWANG,2050,2385,1627,1630,373,653,50,102
MASINA,1122,1357,753,794,352,535,17,28
MIJHING,1656,1942,1228,1234,417,697,11,11
NUWAGAUN,1036,1154,819,815,210,332,7,7
PACHHABANG,915,1233,678,783,218,393,19,57
PAKHAPANI,1555,1710,1125,1109,328,434,102,167
PANG,922,1212,627,488,251,698,44,26
RANGKOT,728,894,573,581,149,303,6,10
RANGSI,938,1164,735,767,199,391,4,6
RANK,1475,1708,1111,1150,299,490,65,68
SAKHI,636,742,503,473,126,260,7,9
SERAM,417,446,307,268,107,166,3,12
SIRPA,1429,1895,991,824,402,948,36,123
SIURI,378,440,256,192,119,242,3,6
TALABANG,1090,1398,726,764,328,551,36,83
TEWANG,789,898,516,448,228,338,45,112
THABANG,942,1016,672,611,203,279,67,126
UWA,917,929,542,471,365,449,10,9
BADACHAUR,1175,1483,913,888,200,502,62,93
HWAMA,815,1056,605,622,195,422,15,12
WOT,997,1180,773,765,198,372,26,43
INSTITUTIONAL,770,329,175,85,594,244,1,0
