VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ARTHAR DADAKHARKA,461,498,364,370,83,117,14,11
BACHCHHA,312,363,274,264,32,95,6,4
BAHAKI THANTI,260,315,237,245,17,63,6,7
BAJUNG,728,865,628,626,85,222,15,17
BALAKOT,256,259,203,190,49,65,4,4
BANOU,265,329,200,216,64,108,1,5
BASKHARKA,154,181,121,124,30,53,3,4
BEULIBAS,489,564,394,404,91,156,4,4
BHANGARA,342,392,289,266,39,96,14,30
BHOKSING,152,193,120,126,32,67,0,0
BHORLE,436,453,359,329,63,109,14,15
BHUKTANGLE,410,477,336,306,68,165,6,6
BIHADI BARACHAUR,426,505,378,358,46,145,2,2
BIHADI RANIPANI,427,534,373,398,54,136,0,0
BITALAWA PIPALTARI,397,425,356,342,40,82,1,1
CHITRE,275,345,225,231,48,111,2,3
CHUWA,315,363,272,278,39,85,4,0
DEUPURKOT,475,519,394,373,67,133,14,13
DEURALI,320,368,277,262,43,101,0,5
DHAIRING,719,746,589,526,114,193,16,27
DURLUNG,488,667,367,430,111,221,10,16
FALAMKHANI,182,218,142,130,27,65,13,23
FALEBAS DEVISTHAN,452,530,399,418,51,111,2,1
FULEBAS KHANIGAUN,342,356,278,264,59,82,5,10
HOSRANGDI,287,359,249,260,38,96,0,3
HUWAS,959,1062,773,752,164,285,22,25
KARKINETA,318,364,268,271,42,78,8,15
KATUWA CHAUPARI,287,343,216,235,58,75,13,33
KHAULA LAKURI,329,452,255,305,66,141,8,6
KHURKOT,656,803,562,599,89,193,5,11
KURGHA,506,545,412,378,54,123,40,44
KYANG,345,411,247,247,91,149,7,15
LEKHFANT,405,473,332,317,70,149,3,7
LIMITHANA,224,282,183,202,37,68,4,12
LUNKHU DEURALI,334,397,288,298,33,91,13,8
MAJHPHANT MALLAJ,1595,1741,1269,1206,301,497,25,38
MUDIKUWA,250,335,229,260,18,72,3,3
NAGLIWANG,493,580,384,404,106,173,3,3
PAKHAPANI,390,474,349,355,40,116,1,3
PAKUWA,397,407,340,307,53,98,4,2
PANG,799,938,652,670,134,251,13,17
PANGRANG,385,507,317,356,68,151,0,0
RAMJA DEURALI,252,293,228,223,21,65,3,5
SALIGRAM,527,583,442,422,77,158,8,3
SALIJA,403,399,297,260,101,131,5,8
SARAUKHOLA,391,486,324,349,60,131,7,6
SHANKAR POKHARI,578,820,517,629,54,173,7,18
SHIVALAYA,2270,2302,1854,1728,356,474,60,100
TAKLAK,259,313,231,229,27,81,1,3
THANA MAULO,269,303,212,198,56,104,1,1
THAPATHANA,469,579,423,435,45,141,1,3
THULI POKHARI,366,497,321,378,36,103,9,16
TILAHAR,761,905,638,661,120,237,3,7
TRIBENI,363,410,305,308,48,89,10,13
URAMPOKHARA,438,467,386,374,41,91,11,2
INSTITUTIONAL,338,35,133,19,202,16,3,0
