VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
ADGURI,3748,1506,2242,40,25,15,14,9,5,18,8,10,0,0,0,19,13,6,16,8,8,6,5,1,10,6,4
ARGHA,5226,2218,3008,40,26,14,7,2,5,9,6,3,5,3,2,7,3,4,11,7,4,2,2,0,8,4,4
ARGHATOS,3933,1601,2332,54,31,23,15,8,7,28,10,18,1,0,1,10,6,4,12,7,5,5,5,0,12,6,6
ASURKOT,2155,910,1245,32,23,9,15,4,11,35,18,17,1,1,0,6,3,3,6,4,2,2,1,1,11,7,4
BALKOT,4141,1673,2468,28,15,13,11,5,6,13,6,7,2,0,2,11,7,4,2,0,2,8,7,1,7,2,5
BANGI,4314,1816,2498,33,20,13,8,3,5,15,6,9,3,1,2,12,8,4,9,4,5,6,5,1,10,6,4
WANGLA,4493,1848,2645,57,32,25,20,12,8,17,9,8,4,2,2,18,13,5,13,8,5,9,3,6,6,2,4
BHAGAWATI,3722,1545,2177,37,23,14,26,11,15,16,9,7,4,1,3,17,9,8,20,14,6,3,2,1,13,6,7
CHHATRAGANJ,2580,1011,1569,15,9,6,13,7,6,8,2,6,2,1,1,4,2,2,7,5,2,2,2,0,3,1,2
CHIDIKA,3228,1347,1881,43,21,22,18,6,12,11,7,4,5,1,4,5,3,2,13,8,5,18,12,6,4,1,3
DHAKAWANG,6630,2903,3727,57,33,24,17,10,7,15,7,8,4,1,3,17,10,7,13,5,8,7,4,3,8,4,4
DHANCHAUR,3675,1555,2120,63,27,36,10,3,7,26,18,8,1,0,1,7,4,3,15,10,5,7,6,1,0,0,0
DHARAPANI,5716,2403,3313,58,31,27,15,9,6,13,7,6,1,1,0,13,9,4,6,2,4,5,2,3,10,5,5
DHATIWANG,1777,731,1046,25,12,13,10,8,2,14,8,6,1,1,0,6,4,2,3,1,2,3,3,0,4,1,3
DHIKURA,4077,1716,2361,43,31,12,23,17,6,14,7,7,1,0,1,18,11,7,4,2,2,9,5,4,10,7,3
DIBHARNA,6421,2726,3695,38,23,15,26,11,15,19,7,12,3,1,2,11,5,6,5,3,2,8,4,4,7,2,5
GOKHUNGA,3331,1438,1893,46,19,27,19,8,11,10,4,6,2,0,2,8,5,3,6,3,3,8,4,4,10,8,2
HANSAPUR,7750,3340,4410,86,50,36,29,16,13,29,12,17,4,3,1,26,16,10,19,7,12,10,4,6,14,11,3
JUKENA,6413,3000,3413,94,52,42,40,18,22,25,13,12,5,4,1,30,18,12,15,6,9,11,7,4,14,5,9
JALUKE,5997,2709,3288,57,35,22,35,21,14,22,11,11,4,0,4,6,2,4,4,2,2,3,3,0,14,9,5
KEEMDADA,3170,1306,1864,25,15,10,12,5,7,9,4,5,0,0,0,7,5,2,7,4,3,9,6,3,7,4,3
KERUNGA,4118,1685,2433,36,11,25,19,7,12,24,13,11,0,0,0,12,8,4,12,4,8,4,1,3,8,4,4
KHANA,4244,1741,2503,37,19,18,15,7,8,24,11,13,4,3,1,17,7,10,7,1,6,6,6,0,2,1,1
KHANCHIKOT,3133,1366,1767,35,13,22,6,3,3,7,4,3,0,0,0,20,13,7,5,4,1,7,7,0,12,8,4
KHANDAHA,3297,1340,1957,63,35,28,14,9,5,23,10,13,0,0,0,12,7,5,11,7,4,6,2,4,8,4,4
