VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BABALA,559,710,474,513,82,187,3,10
BAIJINATH,245,296,225,243,20,53,0,0
BANNATOLI,598,762,477,502,110,241,11,19
BARADADIVI,986,1152,774,759,191,354,21,39
BASTI,844,970,563,466,270,494,11,10
BATULASEN,999,1069,788,722,199,338,12,9
BAYALA,906,1027,730,639,169,375,7,13
BHAGYASWORI,194,248,171,203,22,44,1,1
BHAIRABSTHAN,1015,1152,766,738,248,410,1,4
BHATAKATIYA,1023,1149,769,684,233,437,21,28
BHULI,588,743,469,425,77,184,42,134
BINAYAK,1206,1431,988,847,188,503,30,81
BINDHYAWASINI,751,841,559,552,183,279,9,10
BIRPATH,689,708,569,489,105,195,15,24
BUDHAKOT,627,740,490,465,101,196,36,79
CHALSA,573,623,473,451,100,172,0,0
CHANDIKA(BAYALPATA),394,517,350,425,43,91,1,1
CHAPHAMANDAU,262,330,207,228,52,100,3,2
DARNA,876,1175,704,801,166,370,6,4
DEVISTHAN,490,549,425,406,57,142,8,1
DHAKARI,905,1068,675,644,227,416,3,8
DHAKU,420,480,331,298,89,179,0,3
DHAMALI,813,997,623,592,177,392,13,13
DHODASAIN,1104,1242,829,700,250,525,25,17
DHUDHARUKOT,709,783,607,576,87,189,15,18
DHUNGACHALNA,1405,1431,1059,901,333,517,13,13
DUNI,549,619,381,333,161,281,7,5
GAJARA,308,370,270,299,31,65,7,6
HATIKOT,384,512,328,392,50,105,6,15
HICHMA,1204,1412,859,819,329,580,16,13
JALAPADEVI,502,703,410,505,82,177,10,21
JANALIBANDALI,696,898,584,569,111,324,1,5
JANALIKOT,350,448,281,305,63,130,6,13
JUPU,599,714,466,481,107,194,26,39
KALAGAU,536,727,443,514,89,209,4,4
KALEKANDA,787,958,547,580,239,376,1,2
KALIKA,634,852,523,650,111,199,0,3
KALIKASTHAN,731,891,558,538,112,219,61,134
KHAPTAD,398,420,278,237,117,181,3,2
KHODASADEVI,894,1020,756,750,136,268,2,2
KUIKA,893,1058,747,715,124,277,22,66
KUNTIBANDALI,719,818,419,311,295,504,5,3
KUSHKOT,1057,1128,848,758,207,364,2,6
LAYATI,633,691,461,361,163,324,9,6
LUNGRA,797,1006,589,650,187,323,21,33
MALATIKOT,527,614,385,334,142,274,0,6
MANGALSEN,2232,2494,1718,1639,476,771,38,84
MARKU,439,564,364,381,66,169,9,14
MASHTANAMDALI,412,515,318,294,87,211,7,10
MASTAMANDAU,716,795,564,572,123,179,29,44
NADA,661,701,493,432,163,267,5,2
NANDEGADA,856,1009,679,668,166,329,11,12
NAWATHANA,427,456,372,373,49,78,6,5
OLIGAU,647,802,551,629,78,125,18,48
PATALKOT,629,666,463,383,163,283,3,0
PAYAL,1121,1265,915,909,200,349,6,7
PULLETALA,722,764,589,490,110,266,23,8
RAHAPH,1123,1151,773,670,342,480,8,1
RAMAROSAN,1333,1471,1071,948,256,509,6,14
RANIBAN,586,720,432,382,151,336,3,2
RIDIKOT,318,377,287,303,28,72,3,2
RISIDAHA,1025,1156,783,728,232,418,10,10
SANTADA,596,727,451,490,117,157,28,80
SERA,580,712,389,404,176,286,15,22
SIDDHESWOR,846,883,645,659,143,168,58,56
SIUDI,1137,1311,788,682,336,624,13,5
SOUKAT,1389,1704,872,744,501,942,16,18
SUTAR,788,926,562,542,157,275,69,109
THANTI,611,672,504,485,106,181,1,6
TIMILSAIN,413,525,340,384,63,128,10,13
TOLI,924,1038,728,646,173,330,23,62
TOSI,477,564,379,364,73,186,25,14
TURMAKHAD,905,1035,619,554,272,438,14,43
WALANT,976,1024,669,603,299,414,8,7
WARLA,863,960,549,467,307,486,7,7
INSTITUTIONAL,374,38,196,25,175,13,3,0
