VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
ANKHIBHUI,7092,3221,3871,90,45,45,49,27,22,44,22,22,2,2,0,15,8,7,11,8,3,5,1,4,15,6,9
BAHRABISE,3058,1497,1561,37,20,17,12,9,3,7,4,3,5,4,1,21,9,12,5,2,3,1,0,1,8,4,4
BALA,2749,1291,1458,25,13,12,14,7,7,23,10,13,6,3,3,2,1,1,5,4,1,1,1,0,3,1,2
BANA,5258,2472,2786,45,30,15,12,5,7,23,10,13,0,0,0,20,9,11,10,3,7,3,1,2,2,1,1
BANESWOR,3859,1759,2100,43,24,19,41,17,24,46,22,24,0,0,0,17,14,3,9,7,2,3,2,1,17,13,4
CHAINPUR,5672,2685,2987,42,20,22,18,7,11,30,19,11,3,2,1,17,9,8,5,3,2,5,1,4,10,6,4
CHEPUWA,1688,822,866,13,6,7,11,5,6,10,8,2,5,3,2,8,4,4,4,1,3,0,0,0,0,0,0
DHUPU,4124,1937,2187,33,26,7,11,4,7,14,7,7,0,0,0,9,7,2,2,0,2,0,0,0,9,6,3
DIDING,2935,1448,1487,39,21,18,11,9,2,22,10,12,1,1,0,10,6,4,3,2,1,1,0,1,14,6,8
HATIYA,2989,1438,1551,23,12,11,9,3,6,18,8,10,2,0,2,14,7,7,6,3,3,2,1,1,10,5,5
JALJALA,5718,2626,3092,53,28,25,30,14,16,35,21,14,0,0,0,25,15,10,5,1,4,1,0,1,17,5,12
KEEMATHNKA,364,179,185,1,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
KHANDBARI MUNICIPALITY,25775,12178,13597,186,116,70,84,41,43,76,43,33,15,8,7,59,30,29,31,24,7,13,7,6,62,33,29
KHARANG,5562,2517,3045,50,26,24,16,10,6,27,11,16,1,1,0,13,8,5,9,2,7,3,1,2,16,12,4
MADI MULKHARKA,5755,2591,3164,27,18,9,7,6,1,6,4,2,0,0,0,8,7,1,6,3,3,6,4,2,5,2,3
MADI RAMBENI,5191,2390,2801,48,33,15,26,14,12,28,11,17,2,1,1,24,15,9,12,1,11,5,2,3,11,3,8
MAKALU,3751,1890,1861,40,31,9,21,11,10,11,6,5,2,1,1,11,2,9,2,1,1,1,1,0,23,11,12
MAMLING,3743,1741,2002,32,14,18,11,4,7,24,17,7,6,2,4,10,7,3,6,4,2,7,3,4,15,6,9
MANGTEWA,1983,990,993,11,5,6,3,2,1,3,3,0,0,0,0,5,5,0,1,0,1,1,1,0,3,2,1
MATSYA POKHARI,3830,1795,2035,64,36,28,40,24,16,39,21,18,2,1,1,18,13,5,9,5,4,10,3,7,17,9,8
MAWADIN,3243,1485,1758,21,14,7,13,9,4,8,5,3,0,0,0,7,2,5,5,1,4,1,0,1,5,2,3
NUM,3567,1775,1792,42,25,17,9,2,7,14,6,8,0,0,0,10,9,1,2,1,1,3,2,1,3,1,2
NUNDHAKI,2512,1142,1370,21,13,8,8,4,4,9,2,7,0,0,0,9,6,3,6,3,3,1,1,0,7,3,4
PATHIBHARA,3183,1572,1611,18,13,5,17,4,13,13,11,2,0,0,0,9,2,7,3,1,2,5,5,0,5,1,4
PAWAKHOLA,2915,1464,1451,32,21,11,25,11,14,11,6,5,0,0,0,6,2,4,2,0,2,0,0,0,16,8,8
SABHA POKHARI,3076,1460,1616,15,11,4,16,8,8,12,7,5,2,0,2,5,3,2,6,2,4,0,0,0,4,2,2
SIDDHAKALI,5160,2401,2759,54,29,25,28,19,9,22,11,11,1,1,0,25,15,10,6,3,3,7,2,5,18,9,9
SIDDHAPOKHARI,3766,1741,2025,46,29,17,18,9,9,15,10,5,2,0,2,6,4,2,9,4,5,4,2,2,14,9,5
SISUWAKHOLA,2745,1339,1406,88,53,35,17,9,8,18,11,7,4,1,3,5,1,4,6,4,2,2,1,1,10,5,5
SITALPATI,4720,2149,2571,55,28,27,23,11,12,38,17,21,1,0,1,18,10,8,10,6,4,1,1,0,10,8,2
SYABUN,6137,2836,3301,33,16,17,11,5,6,21,14,7,2,1,1,27,14,13,18,8,10,0,0,0,15,8,7
TAMAFOK,6924,3180,3744,48,24,24,25,13,12,17,13,4,0,0,0,14,8,6,14,7,7,3,2,1,13,7,6
TAMKU,2785,1382,1403,31,13,18,18,6,12,12,9,3,0,0,0,6,5,1,7,5,2,10,4,6,9,5,4
YAFU,2339,1107,1232,25,17,8,8,6,2,4,3,1,0,0,0,7,4,3,2,1,1,3,2,1,3,3,0
INSTITUTIONAL,520,508,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
