VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AAMTEP,2572,1151,1421,23,12,11,13,8,5,12,8,4,4,1,3,4,1,3,6,5,1,0,0,0,1,1,0
ANNAPURNA,1512,712,800,18,8,10,2,1,1,6,4,2,0,0,0,4,1,3,2,1,1,0,0,0,1,1,0
BAIKUNTHE,2646,1188,1458,45,21,24,6,5,1,6,5,1,0,0,0,13,7,6,3,0,3,0,0,0,12,9,3
BASIKHORA,3969,1850,2119,32,22,10,22,12,10,20,7,13,11,3,8,20,6,14,3,2,1,6,3,3,11,7,4
WASHINGTHARPU,1512,694,818,45,20,25,17,8,9,11,5,6,1,1,0,6,5,1,3,2,1,1,0,1,17,8,9
BASTEEM,2391,1108,1283,43,21,22,27,10,17,9,6,3,1,1,0,7,3,4,1,1,0,2,2,0,4,1,3
BHAISIPANKHA,2400,1128,1272,5,4,1,8,7,1,2,1,1,0,0,0,5,2,3,2,1,1,0,0,0,2,2,0
BHOJPUR,7312,3447,3865,63,37,26,20,12,8,17,8,9,0,0,0,18,12,6,8,5,3,2,0,2,6,3,3
YOON,1745,838,907,28,20,8,7,1,6,6,2,4,2,1,1,5,2,3,3,2,1,0,0,0,11,4,7
BHULKE,2423,1127,1296,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOKHIM,2841,1313,1528,10,7,3,9,8,1,6,3,3,2,2,0,7,3,4,3,2,1,0,0,0,4,3,1
BOYA,3573,1712,1861,50,23,27,10,4,6,23,11,12,1,1,0,12,8,4,3,3,0,2,1,1,8,6,2
CHAMPE,2831,1314,1517,13,10,3,11,4,7,22,12,10,0,0,0,11,5,6,3,1,2,4,2,2,6,3,3
CHANGRE,2964,1326,1638,29,17,12,7,3,4,5,5,0,1,0,1,15,9,6,6,6,0,2,0,2,10,4,6
CHARAMBI,2727,1259,1468,31,24,7,8,5,3,8,3,5,0,0,0,14,4,10,8,5,3,0,0,0,3,0,3
CHAUKIDADA,2061,976,1085,5,2,3,1,1,0,4,2,2,0,0,0,3,1,2,0,0,0,1,0,1,0,0,0
