VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AAGLUNG,3519,1599,1920,41,24,17,6,1,5,32,20,12,1,1,0,12,9,3,9,6,3,4,3,1,10,5,5
AMAR ARBATHOK,1891,784,1107,21,13,8,5,4,1,4,1,3,2,2,0,12,9,3,5,3,2,3,2,1,0,0,0
AMARPUR,3484,1517,1967,34,23,11,25,8,17,14,7,7,9,6,3,11,5,6,8,4,4,5,2,3,8,6,2
ANPCHAUR,3830,1606,2224,24,10,14,2,2,0,8,4,4,1,1,0,14,6,8,12,7,5,2,1,1,7,2,5
ARBANI,2671,1144,1527,46,27,19,20,10,10,13,9,4,1,1,0,7,5,2,6,5,1,4,1,3,15,6,9
ARJAI,2573,1084,1489,34,17,17,17,10,7,8,6,2,1,1,0,6,3,3,8,5,3,1,1,0,9,7,2
ARKHALE,5902,2468,3434,62,40,22,25,16,9,25,10,15,3,2,1,19,9,10,14,2,12,10,5,5,16,12,4
ARKHAWANG,1469,648,821,10,8,2,7,5,2,10,6,4,1,0,1,4,2,2,2,2,0,1,1,0,7,5,2
ARLANGKOT,2053,916,1137,15,8,7,10,7,3,10,4,6,2,2,0,16,7,9,0,0,0,0,0,0,4,3,1
ASLEWA,2883,1182,1701,24,7,17,19,6,13,16,6,10,1,0,1,14,3,11,10,4,6,4,3,1,7,2,5
BADAGAUN,7893,3386,4507,57,32,25,17,14,3,12,7,5,2,0,2,35,15,20,15,7,8,3,2,1,18,10,8
BANJHAKATERI,3461,1522,1939,18,11,7,16,7,9,17,10,7,4,1,3,13,6,7,7,4,3,2,2,0,2,2,0
BALETAKSAR,4085,1762,2323,54,30,24,17,9,8,12,6,6,3,3,0,15,8,7,7,2,5,6,3,3,11,7,4
BALITHUM,3802,1569,2233,30,15,15,13,9,4,23,17,6,9,4,5,13,8,5,3,2,1,2,1,1,7,5,2
BAMGHA,3389,1420,1969,16,9,7,19,7,12,16,7,9,0,0,0,17,10,7,5,3,2,6,5,1,7,2,5
BHARSE,1549,593,956,26,16,10,7,4,3,13,8,5,0,0,0,18,10,8,5,5,0,1,1,0,2,0,2
BHURTUNG,3700,1593,2107,72,36,36,16,10,6,19,12,7,0,0,0,13,7,6,13,1,12,3,1,2,11,6,5
BIRBAS,4426,1759,2667,50,35,15,18,13,5,23,15,8,1,1,0,15,12,3,14,11,3,4,1,3,26,13,13
BISUKHARKA,2398,1035,1363,7,2,5,3,1,2,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1
CHHAPAHILE,3085,1388,1697,53,30,23,41,19,22,36,22,14,1,1,0,11,10,1,8,3,5,1,0,1,16,11,5
DARLAMCHAUR,2703,1117,1586,44,24,20,12,4,8,4,2,2,0,0,0,5,5,0,3,2,1,0,0,0,8,5,3
DARBAR DEVISTHAN,5046,2113,2933,49,28,21,19,11,8,18,6,12,1,1,0,10,5,5,17,9,8,7,4,3,14,11,3
DARLING,3041,1321,1720,56,33,23,16,9,7,17,10,7,0,0,0,10,5,5,9,3,6,6,5,1,5,5,0
DAUNGHA,2787,1134,1653,13,7,6,7,4,3,3,3,0,3,3,0,6,3,3,4,1,3,1,0,1,3,3,0
GHAMIR,3404,1462,1942,58,39,19,39,20,19,36,18,18,7,3,4,10,4,6,10,2,8,6,3,3,18,12,6
BASTU,2711,1126,1585,53,30,23,19,11,8,17,7,10,0,0,0,10,6,4,8,3,5,4,3,1,10,4,6
BHANBHANE,3088,1343,1745,27,16,11,9,6,3,12,6,6,2,0,2,13,8,5,5,4,1,5,1,4,17,10,7
NAYAGAUN,4165,1702,2463,32,20,12,13,8,5,19,9,10,0,0,0,21,13,8,8,4,4,14,10,4,10,9,1
DHURKOT RAJASTHAL,3030,1266,1764,36,18,18,22,8,14,13,7,6,0,0,0,11,6,5,11,3,8,4,2,2,6,4,2
DIGAM,4385,1805,2580,37,21,16,12,7,5,15,7,8,0,0,0,22,16,6,16,12,4,6,5,1,10,7,3
DIBRUNG,2031,873,1158,17,10,7,8,2,6,8,5,3,0,0,0,6,3,3,3,1,2,2,0,2,7,5,2
